count,phase,cycle_id,heading_source_cycle_id,heading_yaw,heading_concentration,heading_fallback,acc_H_x,acc_H_y,acc_H_z,omega_H_x,omega_H_y,omega_H_z,alpha_H_x,alpha_H_y,alpha_H_z,quat_H_B_w,quat_H_B_x,quat_H_B_y,quat_H_B_z,left_foot_z,right_foot_z
0.0,0.0,0,0,-0.01718755905965744,0.9999634996483927,1,-6.783217567184345,-0.11635906551790082,-7.194059458419369,0.0,0.0,0.0,0.0,0.0,0.0,0.9999630737039572,0.0,0.0,0.008593673750752633,0.036136247577825256,0.036136247577825256
0.002,0.0025,0,0,-0.01718755905965744,0.9999634996483927,1,-4.91369653444276,-0.08439529772725098,-7.868075946847975,-0.003916324952433046,0.2279964606360398,-1.9842371074823955e-05,-1.9581624762165228,113.9982303180199,-0.009921185537411977,0.9999630478765742,-1.9568494146430026e-06,0.00022802169524588722,0.008593653685687293,0.036089609964538805,0.03608960876650195
0.004,0.005,0,0,-0.01718755905965744,0.9999634996483927,1,-3.460980014411606,-0.05955368964767534,-8.724773246659474,-0.006882112574281602,0.4006085632054994,-2.796518656290662e-05,-1.4828938109242782,86.30605128472983,-0.004061407744041332,0.9999628764916634,-5.396000702081461e-06,0.0006286745687167523,0.008593624246397072,0.03600772584197934,0.03600772288083483
0.006,0.0075,0,0,-0.01718755905965744,0.9999634996483927,1,-2.3341104508289763,-0.04026397060271405,-9.546778719385976,-0.00905078812652908,0.5268202663478447,-2.9510983402102182e-05,-1.0843377761237387,63.10585157117266,-0.0007728984195977809,0.9999624066923444,-9.919125397870277e-06,0.0011555529453413712,0.008593590696326633,0.03590297005233449,0.03590296495417389
0.008,0.01,0,0,-0.01718755905965744,0.9999634996483927,1,-1.4638420103938645,-0.025340601011927623,-10.231152934302395,-0.010552838008503469,0.6142461868077544,-2.7729148807050285e-05,-0.7510249409871949,43.71296022995484,0.0008909172975259487,0.9999615083342464,-1.5192938563025362e-05,0.001769866471065484,0.008593555244962357,0.03578567944366216,0.03578567185297861
0.01,0.012499999999999999,0,0,-0.01718755905965744,0.9999634996483927,1,-0.7999530286720686,-0.01393203946720293,-10.741406369101895,-0.011500320151140372,0.6694111089555738,-2.460379286705099e-05,-0.4737410713184516,27.582461073909705,0.0015626779699996474,0.9999600994896582,-2.094013436098712e-05,0.002439350195713148,0.00859351853237001,0.035662997849013486,0.03566298738700077
0.012,0.015,0,0,-0.01718755905965744,0.9999634996483927,1,-0.30255621081903056,-0.005347041148579613,-11.077187302717894,-0.01199007488491906,0.6979539701533273,-2.1288507632238315e-05,-0.24487736688934372,14.271430598876664,0.0016576426174063376,0.9999581532354906,-2.6931781362358164e-05,0.003137378703605545,0.008593480518191563,0.03553871682295966,0.03553870304269163
0.014,0.017499999999999998,0,0,-0.01718755905965744,0.9999634996483927,1,0.0848358888688425,0.0016639946377819041,-8.862923487848363,-0.012106239154700202,0.7047495052510223,-1.8430298103047064e-05,-0.05808213489057041,3.3977675488475145,0.0014291047645956254,0.9999556936031149,-3.2981187793150776e-05,0.0038422019149668084,0.008593440952227898,0.03541359944031977,0.03541358200315921
0.016,0.02,0,0,-0.01718755905965744,0.9999634996483927,1,0.142527940689647,0.0026959884122926487,-8.739593138736618,-0.012008114454321562,0.6988555267333934,-1.5405162850272288e-05,0.04906235018931944,-2.9469892588144173,0.0015125676263873877,0.9999527639348438,-3.8983120628991994e-05,0.004541128674080142,0.008593400360061298,0.03528359584732078,0.03528357613795899
0.018000000000000002,0.022500000000000003,0,0,-0.01718755905965744,0.9999634996483927,1,0.14901068074605228,0.002829143745199669,-8.67172664335294,-0.011761894945158878,0.6843524980835642,-1.423939413665253e-05,0.1231097545813422,-7.251514324914564,0.000582884356809879,0.9999494216389158,-4.486346340383054e-05,0.0052255488041891875,0.00859335737431515,0.03514244615285668,0.03514242550168785
0.02,0.024999999999999998,0,0,-0.01718755905965744,0.9999634996483927,1,-0.488657566678426,0.30175502034114954,-11.442744182700748,-0.011400398192803958,0.6631565081859307,-1.477768324744636e-05,0.18074837617745976,-10.597994948816746,-0.000269144555396915,0.9999457359558716,-5.056444920821048e-05,0.005888768541425905,0.008593310885359444,0.03498404278022046,0.03498402242304874
0.022,0.027499999999999997,0,0,-0.01718755905965744,0.9999634996483927,1,-0.1639135377369277,-0.17122883729882535,7.389235408442554,0.01305630521851331,0.6071927669950644,-0.017061454304443023,12.228351705658632,-27.981870595433204,-8.523338310597788,0.9999421230246491,-3.22808253208724e-05,0.006495818641123444,0.0085763569822805,0.034805708906952275,0.034813764245655854
0.024,0.03,0,0,-0.01718755905965744,0.9999634996483927,1,-0.08401077032948318,-0.5511482371645724,6.6408193629238585,0.043013750486599465,0.5634199467311889,-0.06502181626997607,14.97872263404308,-21.886410131937748,-23.98018098276652,0.9999388603691366,1.5878373119520113e-05,0.007058847304530773,0.0085116359344697,0.034670833746727824,0.03468900395576306
0.026000000000000002,0.0325,0,0,-0.01718755905965744,0.9999634996483927,1,-0.03037247652411882,-1.9218412598651895,3.145677681374311,0.07872582942568881,0.5142165151795827,-0.11531063175927782,17.856039469544672,-24.601715775803115,-25.144407744650877,0.9999360687573716,9.969126853549788e-05,0.007572375760149619,0.008396879482939268,0.03457745814765507,0.03460404689859353
0.028,0.034999999999999996,0,0,-0.01718755905965744,0.9999634996483927,1,-0.0004779366967531881,-1.8642473856525876,2.6281784829179795,0.13988991550287116,0.45767710909757153,-0.16046578122284508,30.582043038591173,-28.269703041005542,-22.577574731783628,0.999933808928703,0.0002445442370365662,0.008028859585847953,0.008237437295850534,0.034518158128087964,0.0345340350918172
0.03,0.0375,0,0,-0.01718755905965744,0.9999634996483927,1,0.1045282839828946,-1.8852410214003306,2.088268707592272,0.19787825097667625,0.3960123370662882,-0.20203795543235634,28.99416773690254,-30.83238601564168,-20.78608710475563,0.9999321266128731,0.00044722328533036406,0.008423201798678814,0.008036904270230705,0.034490756813511284,0.03447715588819947
0.032,0.04,0,0,-0.01718755905965744,0.9999634996483927,1,0.2594970986560554,-1.0933239296620658,3.683576641519874,0.25297081979198993,0.32949197037905903,-0.23645255686230796,27.546284407656856,-33.260183343614585,-17.20730071497581,0.9999310238738536,0.0007047617007594423,0.008750575196862731,0.007802450849328262,0.03449262415222312,0.03443125318317676
0.034,0.0425,0,0,-0.01718755905965744,0.9999634996483927,1,0.38944694738656643,-1.1812290069481097,2.9454582694823994,0.2866863052585329,0.2610114694599496,-0.2641620681721637,16.857742733271458,-34.240250459554716,-13.854755654927873,0.9999304885247081,0.0009957361552305247,0.009009190195057887,0.007540631291684522,0.03452457803248234,0.034411102383250784
0.036000000000000004,0.045000000000000005,0,0,-0.01718755905965744,0.9999634996483927,1,0.4912712204604069,-1.2365393503195483,2.3547866550700345,0.31983050969070714,0.1882053848199885,-0.28631029914121037,16.572102216087135,-36.40304231998055,-11.074115484523332,0.9999305232198483,0.0013195172418065835,0.00919472997638548,0.007257034393623373,0.03458291755242361,0.03441135518232416
0.038,0.047499999999999994,0,0,-0.01718755905965744,0.9999634996483927,1,0.5784134219713364,-1.24991775038379,1.8922088452538528,0.3519552654780176,0.11213340892364716,-0.30339070108256244,16.062377893655228,-38.03598794817067,-8.540200970676038,0.9999311148672394,0.001675038068644024,0.009303943511148572,0.006956752329186193,0.034664098785054234,0.03442720982992825
0.04,0.049999999999999996,0,0,-0.01718755905965744,0.9999634996483927,1,2.015431653880335,2.976621533875546,2.680758123072332,0.382683453217926,0.03372504667802657,-0.3169504192976639,15.364093869954218,-39.2041811228103,-6.779859107550718,0.9999322406460341,0.0020608753616054576,0.00933451208612578,0.006643326987243503,0.034764790002115825,0.03445442586630447
0.042,0.0525,0,0,-0.01718755905965744,0.9999634996483927,1,2.277359867457918,1.3131015489707871,1.8085957139664153,0.3055472117010446,0.0359999525403002,-0.2809618372376455,-38.5681207584407,1.1374529311368193,17.994291030009183,0.9999330553959267,0.0023692721657093785,0.00936781713919964,0.006365161271948347,0.03491222763831526,0.03447622551134939
0.044,0.05499999999999999,0,0,-0.01718755905965744,0.9999634996483927,1,2.4022464684014126,1.146594218554689,1.259084089514186,0.23850615594631255,0.02967070827584507,-0.16409875086409298,-33.52052787736604,-3.1646221322275676,58.43154318677626,0.9999332153970597,0.0026094990575204102,0.00939548363639349,0.006203236865097184,0.0350940062717472,0.03449097735379852
0.046,0.057499999999999996,0,0,-0.01718755905965744,0.9999634996483927,1,2.424185375246962,1.3543732578301617,0.9864645980592393,0.17589543008970376,0.017363997834048614,-0.037540404875748626,-31.305362928304387,-6.153355220898228,63.279172994172185,0.9999328104915631,0.0027858499207136585,0.009411582257980911,0.006167305900004105,0.03530058446894224,0.03449798162952358
0.048,0.06,0,0,-0.01718755905965744,0.9999634996483927,1,2.4249294628900575,1.6528352263999146,0.8489558294407509,0.11595373228897296,0.0002769838839557152,0.07537653962416918,-29.970848900365404,-8.54350697504645,56.4584722499589,0.9999320108759885,0.0029010881184020738,0.009411305860000779,0.00624376771195708,0.03552433584622186,0.034497332262079856
