count,phase,cycle_id,heading_source_cycle_id,heading_yaw,heading_concentration,heading_fallback,linear_velocity_H_x,linear_velocity_H_y,linear_velocity_H_z,acc_H_x,acc_H_y,acc_H_z,omega_H_x,omega_H_y,omega_H_z,alpha_H_x,alpha_H_y,alpha_H_z,quat_H_B_w,quat_H_B_x,quat_H_B_y,quat_H_B_z,left_foot_z,right_foot_z
0.048,0.06,0,0,-0.017324021552622283,0.9999624572119901,1,-0.019013556760991764,-0.008806324121648753,-0.12721845530397427,2.4241120976115402,1.3543879089651958,0.9859781797251443,0.11607276083559045,0.000165672208199125,0.0750368375702602,-29.97099436317747,-8.528040557420466,56.45384889796864,0.9999324009934911,0.0027856742006134288,0.009412092402566434,0.006232654269709846,0.03529984264588264,0.03449844330480477
0.05,0.0625,0,0,-0.017324021552622283,0.9999624572119901,1,-0.014164086015192678,-0.005500977883930832,-0.12552084990698478,2.424772215656454,1.6526547883732572,0.8488339786101307,0.05831680181420417,-0.020450373194823075,0.16957186371267308,-28.877979510693145,-10.308022701511101,47.26751307120644,0.9999315984090901,0.002901033908457365,0.009411791740194905,0.006308778133971667,0.035523505005446765,0.03449779706836567
0.052000000000000005,0.065,0,0,-0.017324021552622283,0.9999624572119901,1,-0.009342158811290486,-0.0015892574144468494,-0.12398982692363252,2.410999347259488,1.9558577606093328,0.7655462655285117,0.002300335318327146,-0.04367730615503773,0.2469983206774397,-28.008233247938513,-11.61346648010733,38.713228482383315,0.99993053539657,0.0029576296486841023,0.009391488750537464,0.006478946476008601,0.035757956625170215,0.03449007719910888
0.054,0.06749999999999999,0,0,-0.017324021552622283,0.9999624572119901,1,-0.004571232453729813,0.002909606093020357,-0.12202033462274725,2.385497258363415,2.249436357343689,0.984781271828366,-0.0529391133428822,-0.06836061151976762,0.31003382031334425,-27.619724330604676,-12.34165268236494,31.51774981795227,0.9999293070035374,0.002957343106324197,0.009348528817692877,0.006726078063894519,0.03599758296662799,0.03447615727179621
0.056,0.06999999999999999,0,0,-0.017324021552622283,0.9999624572119901,1,0.00015637525912144193,0.007716958590770036,-0.12012940612856823,2.3638388677704283,2.403685867528245,0.9455021055149437,-0.10560008415276459,-0.09428849768352833,0.3608009456980628,-26.330485404941193,-12.963943081880354,25.38356269235928,0.9999279656556226,0.002901072812297991,0.009281424598878991,0.007035796597498699,0.03623805546569235,0.03445943735746401
0.058,0.0725,0,0,-0.017324021552622283,0.9999624572119901,1,0.004856174278631664,0.012715452806929229,-0.11830961631360358,2.349936569795901,2.499257341351001,0.9099343581793882,-0.15534621568737375,-0.11999435205968678,0.40156016017850943,-24.873065767304567,-12.852927188079226,20.379607240223308,0.9999265337728988,0.0027914978606992527,0.009188895009993802,0.007395864053995794,0.03647510662561104,0.03444036715296436
0.06,0.075,0,0,-0.017324021552622283,0.9999624572119901,1,0.009492227401182725,0.01783311915785338,-0.11645570133862014,2.3180655786440765,2.5588420855489034,0.9269983138185101,-0.20219918828697153,-0.1458352373182533,0.4340794138832625,-23.426486299798896,-12.92044262928326,16.25962685237653,0.99992500062477,0.0026316203290687582,0.009071129504829545,0.007796301014199236,0.036705001933935014,0.034419551625982425
0.062,0.0775,0,0,-0.017324021552622283,0.9999624572119901,1,0.015220177968810904,0.01902629706639212,-0.11484017066736539,2.864031321319197,0.5964497356551757,0.8077669320504501,-0.1549356823099615,-0.13341768379220023,0.41213560592211806,23.631752988505006,6.208776763026528,-10.971903980572211,0.9999233465588027,0.0024244002448929477,0.008927965102589386,0.008228895990604166,0.03692466087639987,0.03439757726195881
0.064,0.08,0,0,-0.017324021552622283,0.9999624572119901,1,0.020736447484281946,0.023918157979990595,-0.11312772291253968,2.758166780396591,2.4459588415204303,0.8562368584457367,-0.11773991012121077,-0.12403551440648863,0.3025466654870861,18.597886094375365,4.691084692855805,-54.794470217515986,0.9999214159512123,0.002264683152765338,0.0087968504452502,0.008639939501189936,0.03713385139032853,0.03439091800945977
0.066,0.0825,0,0,-0.017324021552622283,0.9999624572119901,1,0.026195098539022025,0.02987356173158534,-0.11126347854930146,2.729351815014354,2.9777702007607965,0.9321428540848533,-0.0849533175543262,-0.11701012704472565,0.17171835824277748,16.393296283442286,3.5126936808814966,-65.4141536221543,0.9999200991088193,0.002143184466738311,0.008674562076689657,0.008941707405650751,0.037332683719426996,0.03439234396244946
