run_id,scenario,complete_6ms_count,complete_6ms_mean_ms,complete_6ms_p95_ms,complete_6ms_p99_ms,complete_6ms_max_ms,complete_6ms_overrun_count,mpc_policy_mean_ms,ddq_total_mean_ms,ddq_call_1_mean_ms,ddq_call_2_mean_ms,predictor_mean_ms,other_path_mean_ms,tilt_rms_rad,tilt_p95_rad,tilt_max_rad,position_rms_m,position_p95_m,position_max_m,ee_acc_rms_m_s2,ee_alpha_rms_rad_s2,xy_displacement_m,xy_arc_length_m,handoff_tau_jump_l2_nm,legacy_smoke_passed,legacy_mapping_safety_fallback_count,rescue_used_count,rescue_succeeded_before_hold_count,hold_last_succeeded_count,safe_hold_used_count,final_output_uncertified_count,no_safe_torque_count,final_unsafe_count,qp_failure_count,qp_fallback_count,predictor_fallback_count,fallen,nan_inf_count,formal_environment_pass,certified_control_gate_pass
20260815_231454_final_freeze,nominal,1329,3.3576231023095766,3.731723797682207,4.038418602722231,4.732785986561794,0,1.8939783783988506,1.0309190196243985,0.5174926049580136,0.5134264146663848,0.3774415177386499,0.3949981745647325,0.0026174037696090435,0.005713166414536852,0.007573684156195679,0.013735420341185463,0.02459307557931569,0.027715762371252197,2.9415089284031826,7.045140289052242,3.222744384939758,3.348566238023936,6.619200331835519,False,3,2,2,0,0,0,0,0,0,0,0,False,0,True,True
20260815_231555_final_freeze_heldout_pair_02_minus,heldout_pair_02_minus,1329,3.4339658269394406,3.5998773993924256,4.143100359360687,4.47645199164981,0,1.9560660721534535,1.0303677628658157,0.5167087237024347,0.5136590391633811,0.38696402476075964,0.4105588542226545,0.002573218408181173,0.0043931493825279215,0.006995778994550064,0.01367970296679454,0.021625722646637296,0.02442577494577801,2.9605531850680005,7.048757099975255,3.2121141125986563,3.3403456414252046,5.74416049284359,False,5,3,2,1,0,0,0,0,0,0,0,False,0,True,True
