simulation_start_time_s,simulation_end_time_s,complete_interval_ms,budget_ms,overrun,mpc_policy_update_ms,mpc_assembly_ms,mpc_terms_ms,mpc_cost_ms,mpc_constraints_ms,mpc_solver_wall_ms,mpc_postprocess_ms,ddq_call_count,ddq_total_ms,ddq_max_ms,ddq_second_pass_count,ddq_rescue_count,cpp_executor_bridge_ms,other_right_arm_path_ms,ddq_call_1_ms,ddq_call_2_ms,ddq_call_3_ms
0.024,0.03,3.9877040035207756,6.0,False,2.0777800018549897,1.027143000101205,0.47184799768729135,0.4629749964806251,0.05697100277757272,0.43392700172262266,0.13108400162309408,2,1.4351669960888103,0.7992169994395226,0,0,0.047247000000000004,0.42751000557697566,0.7992169994395226,0.6359499966492876,0.0
0.03,0.036,3.369306003150996,6.0,False,1.9446580045041628,0.9948060032911599,0.4469059931579977,0.45927400060463697,0.05486099689733237,0.35300999297760427,0.13170699821785092,2,1.000142001430504,0.5325340025592595,0,0,0.033168,0.391337997216329,0.5325340025592595,0.4676079988712445,0.0
0.036000000000000004,0.042,3.5647509939735755,6.0,False,1.8999000021722168,1.0037009997176938,0.43464599730214104,0.4792569961864501,0.05630499799735844,0.3176579994033091,0.12458099809009582,2,1.2329460005275905,0.6467740022344515,2,0,0.035176000000000006,0.39672899127376826,0.586171998293139,0.6467740022344515,0.0
0.042,0.048,3.6422519988263957,6.0,False,2.05669499700889,1.0114390024682507,0.4503050004132092,0.4707789994427003,0.05626200436381623,0.4308629941078834,0.1263430021936074,2,1.150985001004301,0.6394930023816414,1,0,0.034946,0.3996260008132048,0.6394930023816414,0.5114919986226596,0.0
0.048,0.054,3.3877660025609657,6.0,False,1.8592350024846382,0.9684750039014034,0.4351860043243505,0.4472310029086657,0.053620999096892774,0.32388399995397776,0.12423500447766855,2,1.1017269935109653,0.5870049935765564,2,0,0.031625,0.3951790065653622,0.5870049935765564,0.5147219999344088,0.0
0.054,0.06,3.500284001347609,6.0,False,1.8808550012181513,0.9829620030359365,0.4310809963499196,0.46459199802484363,0.05433999467641115,0.3205719985999167,0.12639300257433206,2,1.1917320007341914,0.6941390020074323,1,1,0.033954,0.3937429993952662,0.4975929987267591,0.6941390020074323,0.0
0.06,0.066,3.3413839992135763,6.0,False,1.8686969997361302,0.9760479952092282,0.4321939995861612,0.45563299499917775,0.05526199674932286,0.30781899840803817,0.12555199646158144,2,1.0442459970363416,0.5706070005544461,1,0,0.037909,0.39053200244110453,0.5706070005544461,0.47363899648189545,0.0
0.066,0.07200000000000001,3.3422390042687766,6.0,False,1.9596630008891225,0.9778480016393587,0.4339199949754402,0.45640099415322766,0.05383999814512208,0.39422300324076787,0.12918699940200895,2,0.9443719973205589,0.49400600255467,0,0,0.035354000000000003,0.4028500060590952,0.4503659947658889,0.49400600255467,0.0
0.07200000000000001,0.07800000000000001,3.2324449930456467,6.0,False,1.8759459999273531,0.9794249999686144,0.4335390040068887,0.4578849984682165,0.05416799831436947,0.31594699976267293,0.1234399969689548,2,0.9337589945062064,0.4774059998453595,0,0,0.038206,0.3845339986120872,0.4774059998453595,0.4563529946608469,0.0
0.078,0.084,3.3500380013720132,6.0,False,1.83015000220621,0.9763440029928461,0.4322629974922165,0.4548720025923103,0.05720199987990782,0.29094499768689275,0.12220899952808395,2,1.0665230001905002,0.6314269994618371,1,0,0.038889,0.414475998975303,0.43509600072866306,0.6314269994618371,0.0
0.084,0.09000000000000001,3.5209450070396997,6.0,False,1.877016002254095,0.9867570042842999,0.4392529954202473,0.45907899766461924,0.054480005928780884,0.31527499959338456,0.12420500570442528,2,1.2197230025776662,0.6817750036134385,2,1,0.035300000000000005,0.3889060022079386,0.6817750036134385,0.5379479989642277,0.0
0.09,0.096,3.3582560063223355,6.0,False,1.8695339967962354,0.9817479949560948,0.4408240056363866,0.45300900092115626,0.05433899787021801,0.3146759991068393,0.12139699538238347,2,1.0555229964666069,0.5281039993860759,2,0,0.044693000000000004,0.38850601305949317,0.5281039993860759,0.527418997080531,0.0
