variant,quantity,relative_rmse,trend_correlation,max_abs_lag_bins,direct_relative_rmse,direct_trend_correlation,direct_max_abs_lag_bins,rmse_x,rmse_y,rmse_z,passed
raw,acceleration,7.782669089777049e-07,0.9999999999996977,0,0.015541174138395829,0.9998792359467696,0,1.7668044435257083e-06,6.855775355822783e-07,0.0,1
raw,angular_velocity,9.179468173282678e-07,0.999999999999579,0,0.022507986926356003,0.999746694717737,0,7.904670055063673e-08,3.3863957174639633e-07,0.0,1
raw,angular_acceleration,2.011890842283357e-06,0.9999999999979763,0,0.01966355909824191,0.9998066722248583,0,3.947738153083521e-06,1.558088837908965e-05,0.0,1
half_smoothed,acceleration,7.782669089777049e-07,0.9999999999996977,0,0.015541174138395829,0.9998792359467696,0,1.7668044435257083e-06,6.855775355822783e-07,0.0,1
half_smoothed,angular_velocity,2.228188301976235e-07,0.999999999999976,0,0.02260769574437425,0.999744445455645,0,2.786049293291848e-08,7.754259753136688e-08,0.0,1
half_smoothed,angular_acceleration,6.177993413118399e-07,0.9999999999998093,0,0.02192332627259313,0.9997596838824042,0,1.1064320497493245e-06,3.3389280212164464e-06,0.0,1
fully_smoothed,acceleration,2.7870731104360676e-07,0.9999999999999621,0,0.017051857298560815,0.9998546170589503,0,5.170004846670262e-07,1.863146282737846e-07,0.0,1
fully_smoothed,angular_velocity,2.228188301976235e-07,0.999999999999976,0,0.02260769574437425,0.999744445455645,0,2.786049293291848e-08,7.754259753136688e-08,0.0,1
fully_smoothed,angular_acceleration,6.177993413118399e-07,0.9999999999998093,0,0.02192332627259313,0.9997596838824042,0,1.1064320497493245e-06,3.3389280212164464e-06,0.0,1
