count,phase,quat_w,quat_x,quat_y,quat_z,yaw,yaw_unwrapped,yaw_ref,H_R_W_00,H_R_W_01,H_R_W_02,H_R_W_10,H_R_W_11,H_R_W_12,H_R_W_20,H_R_W_21,H_R_W_22,H_R_IMU_00,H_R_IMU_01,H_R_IMU_02,H_R_IMU_10,H_R_IMU_11,H_R_IMU_12,H_R_IMU_20,H_R_IMU_21,H_R_IMU_22,lin_acc_H_x,lin_acc_H_y,lin_acc_H_z,ang_vel_H_x,ang_vel_H_y,ang_vel_H_z
0.02,0.024999999999999998,0.9999826597737868,4.357358831990949e-08,0.0058889856253953,-2.138570432956314e-07,-4.272230937851352e-07,-4.272230937851352e-07,-0.012068388928941767,0.9999271778781906,-0.012068095978956658,0.0,0.012068095978956658,0.9999271778781906,0.0,0.0,0.0,1.0,0.999857827781083,-0.012067667790260986,0.0117769104181811,0.01206683176980476,0.999927183045894,0.00014204556485401462,-0.01177776701812341,8.462686338034715e-08,0.999930639696604,-0.49779188107707745,0.31508079364173447,-11.440807611440883,-0.008005452652899826,0.6632061792204089,-1.477768324744636e-05
0.022,0.027499999999999997,0.9999788993572358,2.343069919343855e-05,0.006496151728674627,-1.743595131008241e-05,-3.456966573262404e-05,-3.456966573262404e-05,-0.012097657642304844,0.999926824232251,-0.012097362555736634,0.0,0.012097362555736634,0.999926824232251,0.0,0.0,0.0,1.0,0.9998428479922231,-0.012062189523544025,0.012991647420480666,0.012061777312691004,0.9999272480581672,0.00011008578190172574,-0.012992030128468366,4.663387641076211e-05,0.9999155989274408,-0.17494605317972378,-0.14906178571608217,7.350437755764775,0.016031375820675212,0.6074125383361839,-0.01736068540078541
0.024,0.03,0.9999750766435797,7.661000628165118e-05,0.007059262494580649,-8.387852748504448e-05,-0.00016668786759030605,-0.00016668786759030605,-0.012126959969474663,0.9999264693220938,-0.012126662733488416,0.0,0.012126662733488416,0.9999264693220938,0.0,0.0,0.0,1.0,0.999828817372595,-0.011957840340832006,0.014118994500367233,0.011958794944186122,0.9999284909135596,1.681708612100407e-05,-0.014118185959999885,0.00015203195271996673,0.9999003218878791,-0.09608339576253154,-0.5324243566846945,6.5989748947752975,0.04603342163911385,0.563713609530893,-0.06677503856091782
0.026000000000000002,0.0325,0.9999712923894476,0.00016519080384572168,0.007572739440402177,-0.00020180769296797882,-0.00040114792519603445,-0.00040114792519603445,-0.012156295133363824,0.9999261131542109,-0.012155995735121071,0.0,0.012155995735121071,0.9999261131542109,0.0,0.0,0.0,1.0,0.9998162232096113,-0.011749918394491972,0.015147911558741761,0.01175352827110004,0.9999309137546397,-0.0001493016805029335,-0.015145110763845048,0.00032731564907308543,0.9998852526587322,-0.04755074118092416,-1.8928083189704255,3.1372689752594187,0.08164294747056272,0.5145051973659904,-0.1185140565404528
0.028,0.034999999999999996,0.9999676524521719,0.00031422445649288905,0.008028799386425747,-0.00036564011881682246,-0.0007263045963120939,-0.0007263045963120939,-0.012185661465191282,0.9999257557460476,-0.012185359891917123,0.0,0.012185359891917123,0.9999257557460476,0.0,0.0,0.0,1.0,0.9998054238542209,-0.011449106620892662,0.016063386606352092,0.011457628682383807,0.9999342630293325,-0.00043859430275312004,-0.01605730913504239,0.0006225572818812893,0.999870879286807,-0.015831239771477084,-1.8479924337912779,2.617292652987029,0.14240160945443686,0.45781148579349,-0.16488314158663145
0.03,0.0375,0.9999642328243858,0.0005205093900527975,0.008422328245758306,-0.0005714270152527695,-0.0011342065176523984,-0.0011342065176523984,-0.01221505632489238,0.9999253971271064,-0.012214752563950134,0.0,0.012214752563950134,0.9999253971271064,0.0,0.0,0.0,1.0,0.9997967355593719,-0.011063242923852768,0.01685503547404016,0.011079050916161412,0.9999382685749644,-0.0008447899735729921,-0.01684464887198405,0.0010313560540221635,0.9998575869137911,0.09025804524424358,-1.8764524484006833,2.075582687423971,0.20002115852820293,0.3959675323365416,-0.20731530096167783
0.032,0.04,0.9999610967201868,0.000781074500583918,0.008748485228743413,-0.00081177274442972,-0.001610063076647255,-0.001610063076647255,-0.012244475830793121,0.9999250373423999,-0.012244169869780993,0.0,0.012244169869780993,0.9999250373423999,0.0,0.0,0.0,1.0,0.9997903698375258,-0.010607112752741062,0.01751301056911683,0.010632584279083363,0.9999425449555165,-0.0013619616120980685,-0.017497557877931117,0.0015478846647206533,0.999845707857654,0.24941517323746043,-1.10818589667905,3.635157472979996,0.25476328250199864,0.32924679541324114,-0.24236477234144932
0.034,0.0425,0.9999582879432286,0.001074790559167947,0.00900559825074042,-0.001079999559387279,-0.002140899738087418,-0.002140899738087418,-0.01227391510859633,0.9999246764495787,-0.012273606935427613,0.0,0.012273606935427613,0.9999246764495787,0.0,0.0,0.0,1.0,0.9997864267237041,-0.010094446812680569,0.018033387995422787,0.010131197981974892,0.9999467811217884,-0.0019477555350642622,-0.018012766764090506,0.002130039370600612,0.9998354880508004,0.3792156001247171,-1.1959179482931166,2.901180125132907,0.28843289617117956,0.26061123077136855,-0.27058824611372595
0.036000000000000004,0.045000000000000005,0.9999558565232198,0.0014009710907965285,0.009189342133973611,-0.0013705021204915686,-0.0027155973970939013,-0.0027155973970939013,-0.01230336914826365,0.9999243145085357,-0.012303058751183907,0.0,0.012303058751183907,0.9999243145085357,0.0,0.0,0.0,1.0,0.9997850874737425,-0.009536542384156972,0.018407423080817418,0.00958600495306325,0.9999506711246297,-0.0026007357502267183,-0.018381713036626342,0.0027766304683623554,0.9998271865422951,0.48201201538608984,-1.253962490801998,2.3145450657645856,0.3214936935425281,0.1876407211002205,-0.29323365020100917
0.038,0.047499999999999994,0.9999538329778568,0.001758500406705613,0.009296458835678263,-0.0016779279870329825,-0.003323586346297077,-0.003323586346297077,-0.012332833513886544,0.9999239515726728,-0.012332520881437103,0.0,0.012332520881437103,0.9999239515726728,0.0,0.0,0.0,1.0,0.9997864670006797,-0.008944236150905921,0.018628500797847704,0.009007567101674264,0.9999539244122315,-0.0033185520164606924,-0.018597960565809913,0.003485640867035423,0.9998209670588724,0.5688356151448329,-1.2664268563435392,1.8559027911499069,0.35350449900854086,0.1113942878959486,-0.31055087307722196
