bin_id,phase_center,bin_count,acc_H_x,acc_H_y,acc_H_z,acc_H_std_x,acc_H_std_y,acc_H_std_z,omega_H_x,omega_H_y,omega_H_z,omega_H_std_x,omega_H_std_y,omega_H_std_z,alpha_H_x,alpha_H_y,alpha_H_z,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std
0,0.005,81,-0.6203599831660045,2.4137496326484853,-2.393898850049922,0.02440094775572963,0.3027968015773483,0.4843785917324353,-0.5745677026397663,0.011482809540515539,-0.051924958463134066,0.02594513917359033,0.00963686644167393,0.030491297098860646,-12.166551640321988,-3.1989274749090355,-6.767537942270142,0.04477478127121035,0.0012361382657327827,0.03683698353396953,0.00031649695565305624
1,0.015,79,-0.5598927205214133,2.223993321185687,-2.744508081079386,0.07256418480500393,0.4695238502431999,0.6432770038879849,-0.690658018159719,-0.019960274775929935,-0.12755230641508927,0.04156801394733605,0.009288695276649895,0.011271750110736457,-14.506293975422441,-3.728194053575823,-5.247588151586877,0.04064880653002847,0.0012459692883867337,0.0380297815824451,0.00040599013629217916
2,0.025,81,-0.5278098524361686,1.1128308652771146,-1.436766486686172,0.14217731204576,0.28867923881751506,0.31905812730492317,-0.8066684062465254,-0.04816829531669763,-0.1358863688885241,0.027710972279709634,0.007047850429264522,0.007597725943718694,-10.211103889537803,-1.4191432233836303,-1.8249715451851487,0.037040212864283606,0.0009810752325456068,0.039491941314680416,0.000507404568013123
3,0.035,80,-0.8169988260071603,-2.424160449492591,4.905337302496163,0.161677156989113,1.2638509115874206,2.2656103331787545,-0.8540356803923238,-0.04266656635006802,-0.15675185113805165,0.009295578087739821,0.012200794321526546,0.014957608465482084,2.0493260472387447,3.21950590688191,5.771519353706242,0.03417200122372088,0.0007339564000522348,0.041442752088212055,0.0006841647625983286
4,0.045,81,-0.8366299148984901,-4.33375893275529,7.522663876026873,0.6668178425864284,0.13971641478520144,2.6812845326603303,-0.7738791894907054,0.0033437991934129295,-0.04354205922922423,0.04022807534565657,0.012989213747995939,0.05079071738583198,15.029482272012729,10.185950780093588,10.348478382724862,0.0324944486025105,0.0003287370573261039,0.0439534691514037,0.0008461358632266906
5,0.055,79,-1.40381002631604,-3.1494951251239125,2.0606029853511596,0.3951770529757122,0.42422449770900356,0.2030791060977157,-0.6135639640401201,0.12030864613142939,0.008823802985546147,0.04916397788232344,0.04501167172163807,0.033280610719546425,18.95626288453067,11.627495808550027,-2.4008659351616566,0.03195062165968552,8.682250838458258e-05,0.04725420516601855,0.001190631331455051
6,0.065,81,-0.5368905958562872,-2.8649079535802624,2.536249611021864,0.1626291407885993,0.012942760434605818,0.10588626521378935,-0.47057898333821474,0.18938373213021337,-0.08195591419181074,0.03934587136268196,0.006592663194700241,0.01499412698546782,15.673282995438461,3.216341025461708,-5.699718274508898,0.03199279514056593,7.535557248841086e-05,0.0515209902562237,0.0013705941358619416
7,0.075,81,-0.7549960092165521,-2.3742172504193335,0.983693771765861,0.3471899950188892,0.2988535844132646,1.173384623689258,-0.36279143611310477,0.17177010253881672,-0.08237168940659623,0.022983126595529986,0.009584712546255245,0.009611290062357343,9.074600406573301,-4.237473166226884,3.045137820074433,0.032269454941488585,0.00010314358561481284,0.05596396833618461,0.001343115593128075
8,0.085,79,-0.5779538690615976,-2.020557807536098,0.9496881241759307,0.09967177899063565,0.030247555163607543,0.19888140317472808,-0.3253853768330419,0.12158416147058322,-0.033233709070619816,0.005915298635708056,0.021848500674599505,0.021602206709058075,2.899362623706197,-8.41947747063522,8.56771428140456,0.03260495912056562,0.00010185457989130349,0.06048901166047362,0.001360849949472086
9,0.095,80,-0.44753633128442016,-1.8902266127461704,1.0363566259004209,0.12704640099327896,0.06796759902554518,0.6278056408027591,-0.3164016341338056,0.03705846300865322,0.05471173909587673,0.0017375460782944416,0.027991951429420892,0.03002875419131018,1.8900712368201504,-7.029314035614455,6.321913345193087,0.03292039650103947,9.092262019834614e-05,0.06477561878312862,0.0012288795757251236
