count,phase,lin_acc_x,lin_acc_y,lin_acc_z,ang_vel_x,ang_vel_y,ang_vel_z,ang_acc_x,ang_acc_y,ang_acc_z,quat_w,quat_x,quat_y,quat_z,left_foot_z,right_foot_z
0.0,0.0,-6.784215499127811,0.00023933343615716924,2.615940541580631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.036136247577825256,0.036136247577825256
0.002,0.0025,-4.915306370280455,6.727466328783127e-05,1.9396825794026564,2.763195057341283e-06,0.22803009375093228,-1.984237276523889e-05,0.0013815975286706414,114.01504687546614,-0.009921186382619445,0.999999974001138,2.766901594491762e-09,0.00022803009177471312,-1.9842372311543363e-08,0.036089609964538805,0.03608960876650195
0.004,0.005,-3.462854173844722,-6.23400399482039e-05,1.080873431569643,4.045119777021311e-06,0.40066767322891866,-2.7965565533179413e-05,0.000640962359840014,86.31878973899319,-0.004061596383970262,0.9999998023695643,6.82269118479933e-09,0.0006286977255631057,-4.780774943716722e-08,0.03600772584197934,0.03600772288083483
0.006,0.0075,-2.3350598216417926,-0.0001426924235042756,0.25782520349822613,4.844059282853494e-06,0.5268980069966059,-2.9512087066561302e-05,0.0003994697529160917,63.115166883843635,-0.0007732607666909442,0.9999993322992751,1.1685892675684311e-08,0.0011555955167787803,-7.731927892343298e-08,0.03590297005233449,0.03590296495417389
0.008,0.01,-1.462561324614506,-0.00017854795448028098,-0.42633286454084596,5.562583997910637e-06,0.614336829733393,-2.773063170916899e-05,0.00035926235752857126,43.71941136839352,0.0008907276786961556,0.9999984336696927,1.7277490654425084e-08,0.0017699316796095435,-1.0504913770330281e-07,0.03578567944366216,0.03578567185297861
0.01,0.012499999999999999,-0.7955205907659846,-0.00018166964810878607,-0.9352987388382311,6.301405933572793e-06,0.6695098879904353,-2.460454419788402e-05,0.0003694109678310781,27.586529128521164,0.001563043755642486,0.9999970245616319,2.3618626406854304e-08,0.0024394400722286646,-1.2965322363514386e-07,0.035662997849013486,0.03566298738700077
0.012,0.015,-0.2946459162340469,-0.00014647298780339786,-1.2690611783188097,7.1533846828629895e-06,0.6980569506118078,-2.1286409368739905e-05,0.0004259893746450982,14.273531310686261,0.001659067414572057,0.9999950780526505,3.0822139918684474e-08,0.003137494294773291,-1.5094052500659778e-07,0.03553871682295966,0.03553870304269163
0.014,0.017499999999999998,0.07757151871455316,0.00020579956326163576,0.9477006035233322,7.77918466053744e-06,0.7048534784745863,-1.84246431974943e-05,0.00031289998883722554,3.398263931389256,0.0014308830856228018,0.9999926181710831,3.8659821695289975e-08,0.0038423434662492478,-1.69367749462446e-07,0.03541359944031977,0.03541358200315921
0.016,0.02,0.13282537566159958,0.0002461470521136808,1.0716574498702742,4.570117622411325e-06,0.6989586840701681,-1.54236431045091e-05,-0.0016045335190630575,-2.947397202209101,0.0015005000464926002,0.9999896882621581,4.329715849364962e-08,0.004541295995238826,-1.847818038259439e-07,0.03528359584732078,0.03528357613795899
0.018000000000000002,0.022500000000000003,0.1371326732082098,0.0002678812377741728,1.1397688272898643,1.4887644881495013e-06,0.6844535658482686,-1.4284592120728435e-05,-0.001540676567130912,-7.252559110949797,0.0005695254918903329,0.9999863457202433,4.485482953805624e-08,0.0052257413859948774,-1.990433618846292e-07,0.03514244615285668,0.03514242550168785
0.02,0.024999999999999998,-0.47471180987108147,0.3210648994574385,-1.636512192691208,-1.3430584747130264e-06,0.663254493708369,-1.4850660671008478e-05,-0.0014159114814312637,-10.599536069949789,-0.00028303427514002176,0.9999826597737868,4.357358831990949e-08,0.0058889856253953,-2.138570432956314e-07,0.03498404278022046,0.03498402242304874
0.022,0.027499999999999997,-0.39966543446195546,-0.14614045099841153,17.156700149388854,0.023580881779902876,0.607174164804997,-0.017084078673770136,11.791112419188794,-28.040164451686,-8.534614006549564,0.9999788993572358,2.343069919343855e-05,0.006496151728674627,-1.743595131008241e-05,0.03480549396562546,0.0348142066268729
0.024,0.03,-0.3340990606366846,-0.5287426451040304,16.40597372437334,0.053709619392565376,0.5631126866398534,-0.06610895690386247,15.064368806331249,-22.030739082571802,-24.512439115046163,0.9999750766435797,7.661000628165118e-05,0.007059262494580649,-8.387852748504448e-05,0.0346701113317153,0.03468997704315108
0.026000000000000002,0.0325,-0.26587700126672004,-1.8878809908736465,12.94534561560876,0.08947010328796552,0.5134715626580801,-0.11734055371047708,17.88024194770007,-24.820561990886613,-25.615798403307306,0.9999712923894476,0.00016519080384572168,0.007572739440402177,-0.00020180769296797882,0.03457591264951225,0.034605649298623975
0.028,0.034999999999999996,-0.23655065034474848,-1.8399529972795925,12.426244247724702,0.15026691508448223,0.45604837024319234,-0.16277519316116684,30.398405898258353,-28.7115962074439,-22.71731972534488,0.9999676524521719,0.00031422445649288905,0.008028799386425747,-0.00036564011881682246,0.03451557917254326,0.03453658546547873
0.03,0.0375,-0.13075808023301144,-1.8650768913371452,11.886996535680769,0.20785959924169342,0.3935163901390564,-0.20424892222847643,28.796342078605598,-31.265990052067956,-20.736864533654796,0.9999642328243858,0.0005205093900527975,0.008422328245758306,-0.0005714270152527695,0.03448695588701772,0.03448092927946959
0.032,0.04,0.002322587289474043,-1.0899562476066547,13.448960308044661,0.2624514123661608,0.3261504229468317,-0.23831412679867428,27.295906562233696,-33.68298359611235,-17.032602285098925,0.9999610967201868,0.000781074500583918,0.008748485228743413,-0.00081177274442972,0.034487435830081556,0.03443647877497458
0.034,0.0425,0.13805500541185933,-1.1726069604741438,12.71825688196813,0.2958856415541745,0.25710942718714613,-0.26584991575386374,16.717114594006848,-34.52049787984279,-13.76789447759473,0.9999582879432286,0.001074790559167947,0.00900559825074042,-0.001079999559387279,0.034517786214544974,0.034417695863373024
0.036000000000000004,0.045000000000000005,0.24701802621986477,-1.2248319810123385,12.134583605385194,0.32861346221321347,0.18375132527227026,-0.2877531089767142,16.363910329519477,-36.67905095743794,-10.951596611425224,0.9999558565232198,0.0014009710907965285,0.009189342133973611,-0.0013705021204915686,0.03457434853000254,0.034419222771190805
0.038,0.047499999999999994,0.34034472500755636,-1.230793157534974,11.678613468370687,0.36020801854672846,0.10714485880462818,-0.3042796831379411,15.797278166757494,-38.30323323382104,-8.263287080613468,0.9999538329778568,0.001758500406705613,0.009296458835678263,-0.0016779279870329825,0.03465361701625047,0.034436248636981484
0.04,0.049999999999999996,1.8276288530024773,2.977613151581495,12.513735960108784,0.39033235067883204,0.028226253072918525,-0.31727505991359606,15.062166066051791,-39.45930286585482,-6.497688387827466,0.9999522245236413,0.002145909375309574,0.00932462723419299,-0.0019987671496793646,0.03475229540256275,0.03446452485804606
0.042,0.0525,2.0805618598623763,1.3130603581526674,11.655256312752954,0.313097698327041,0.03114783393882463,-0.28316391412606506,-38.61732617589553,1.4607904329530519,17.055572893765497,0.9999506073880302,0.002456421801932157,0.009355672132363602,-0.0022847702714104256,0.03489763883194271,0.03448712645445312
0.044,0.05499999999999999,2.2112504192277656,1.15035837010963,11.109235907165283,0.24430813779943772,0.02577435593006901,-0.16783062939723267,-34.394780263801636,-2.6867390043778094,57.6666423644162,0.9999493392835934,0.0026992162972308805,0.009381203553352471,-0.002454815181873627,0.0350772787364103,0.03450242508653309
0.046,0.057499999999999996,2.2400568249816866,1.3782375225436654,10.820214534288747,0.17964556308675342,0.014512849820013024,-0.04262857482082503,-32.33128735634215,-5.630753055027993,62.601027288203824,0.9999485971336712,0.002878494350014538,0.009395313735930713,-0.002499087930399863,0.03528168617073548,0.03450973540260584
0.048,0.06,2.246116413418115,1.6786522303602067,10.687138011931465,0.11767782837283211,-0.0015742038359566955,0.06898396576625115,-30.983867356960655,-8.04352682798486,55.806270293538084,0.9999484367455491,0.002996809498792225,0.009393197703926912,-0.0024312177723024913,0.03550316551622579,0.03450916675899968
0.05,0.0625,2.2379412199800135,1.9850864933349617,10.606091124744028,0.058164757249080115,-0.021265793261007658,0.16219773299064907,-29.756535561875996,-9.84579471252548,46.606883612198956,0.9999488417014344,0.0030564345055408984,0.009371282165811446,-0.002269638438764889,0.03573535689661954,0.03450134282481014
0.052000000000000005,0.065,2.213408793209008,2.2802632675641203,10.828879059961352,0.0006189162350424167,-0.04360768607105422,0.23832466357885312,-28.77292050701885,-11.17094640502328,38.06346529410202,0.999949760084094,0.003059171281675885,0.009326946416862675,-0.002031464833532946,0.03597266565066197,0.03448717197135806
0.054,0.06749999999999999,2.197010320282769,2.432304370798151,10.792003370773388,-0.05595192546897773,-0.06742009000884029,0.30010898202437075,-28.285420852010073,-11.906201968893036,30.892159222758814,0.9999511207558875,0.003005860549608161,0.009258744525556549,-0.0017310549420146751,0.036210790657348904,0.03447010686767644
0.056,0.06999999999999999,2.1885696947205733,2.5243904567528417,10.758639420887603,-0.10977702445988423,-0.09251136231274652,0.3497019957119133,-26.91254949545325,-12.545636151953115,24.79650684377127,0.9999528409362878,0.00289913641936997,0.009165411551857289,-0.0013806312161312405,0.03644549114755789,0.034450621359181935
0.058,0.0725,2.1634067034938855,2.589393458090516,10.755920849225733,-0.16054684751808618,-0.11741244372376529,0.38936461168647357,-25.384911529100975,-12.450540705509383,19.831307987280137,0.9999548241714507,0.0027419686832502953,0.009047144324173523,-0.0009901533023220187,0.03667306129926079,0.034429342141078345
0.06,0.075,2.684863580091752,0.5993259170568409,10.70446611603126,-0.2085493092228982,-0.14252621251897696,0.42085084313293863,-24.001230852406003,-12.556884397605835,15.743115723232531,0.9999569813081285,0.002537056312656173,0.008903732548858555,-0.0005678248859918211,0.036890345423619006,0.03440686831433004
0.062,0.0775,2.613668785133733,2.436968536089586,10.741370079094152,-0.16104821620470647,-0.13096169818663692,0.3995913213225292,23.75054650909586,5.782257166170021,-10.629760905204705,0.9999586815988988,0.002379514012960093,0.008771833855620057,-0.00016714922873694118,0.037097437758593726,0.0343996675938759
0.064,0.08,2.5973136364862555,2.96464038996404,10.812596992439646,-0.12203905671795051,-0.12278692212657973,0.2910348301106956,19.504579743377978,4.0873880300285945,-54.278245605916815,0.9999600405939849,0.002260047287170904,0.008648344554606436,0.00012465152029363406,0.03729447310867262,0.03440054894765496
0.066,0.0825,2.5956901508130676,2.9872597767106845,10.906719018534611,-0.08712152383990357,-0.11699543363482863,0.1612771274573835,17.45876643902347,2.8957442458755476,-64.87885132665603,0.999961205736759,0.0021743801836729645,0.008530947260069833,0.00028641080818964993,0.037480777955086905,0.034405069353916684
0.068,0.085,2.5923879986583156,2.8652941871064654,11.017014475635927,-0.054488113849458654,-0.1128073304153745,0.03593733318679296,16.31670499522246,2.094051609727067,-62.66989713529527,0.999962267867181,0.00212027660748953,0.00841802947780022,0.00032256587463698645,0.03765571942697998,0.034410311966488596
0.07,0.08750000000000001,2.584356334624158,2.715976204880771,11.134458292176705,-0.02353119265668569,-0.10962405723581096,-0.07752670852139373,15.478460596386482,1.5916365897817655,-56.73202085409334,0.9999632562816574,0.0020961725672733996,0.008308556947521951,0.0002450073535476445,0.03781906364909243,0.034414331474578425
0.07200000000000001,0.09000000000000001,2.572219485575683,2.576040354356987,11.253010587646434,0.006040130734254462,-0.1069878294177436,-0.1780968315685038,14.785661695470075,1.3181139090336844,-50.285061523555036,0.9999641544607547,0.0021008015004980026,0.008201950100612476,6.664226189837036e-05,0.03797088503716692,0.03441583996238455
