qa,qalpha,samples,acceptable,right_acc_rms,right_acc_rms_std,right_alpha_rms,right_alpha_rms_std,right_tilt_rms,right_tilt_rms_std,right_tilt_std,right_tilt_std_std,left_acc_rms,left_acc_rms_std,left_alpha_rms,left_alpha_rms_std,left_tilt_rms,left_tilt_rms_std,walk_distance_xy,walk_distance_xy_std,qp_success,qp_success_std,fallback_fraction,fallback_fraction_std,q_safety_violation_fraction,q_safety_violation_fraction_std,recovery_active_fraction,recovery_active_fraction_std,ddq_saturation_any_fraction,ddq_saturation_any_fraction_std,tau_saturation_any_fraction,tau_saturation_any_fraction_std,arm_interval_mean_ms,arm_interval_mean_ms_std,arm_interval_p99_ms,arm_interval_p99_ms_std,arm_interval_max_ms,arm_interval_max_ms_std,arm_interval_overrun_fraction,arm_interval_overrun_fraction_std,acc_improvement_pct,alpha_improvement_pct,tilt_change_pct
0.02,0.0,1,True,2.456958896857812,0.0,6.587933439031624,0.0,0.018463638243862057,0.0,0.011585959996083478,0.0,2.058745556693673,0.0,9.778661003548306,0.0,0.7326847687178631,0.0,4.775163443685356,0.0,0.99812382739212,0.0,0.001876172607879925,0.0,0.0,0.0,0.0028142589118198874,0.0,0.023076923076923078,0.0,0.0,0.0,3.170954085377967,0.0,4.007771649685303,0.0,5.309587000738247,0.0,0.0,0.0,16.100752392977235,-1.0501027184477254,22.196448965457744
0.02,0.0003,1,True,2.4601105491345074,0.0,6.41566963524336,0.0,0.01962395650129878,0.0,0.012383390064119884,0.0,2.0700369913874614,0.0,9.8017563352518,0.0,0.7310267298986866,0.0,4.773519147044855,0.0,0.9934333958724203,0.0,0.006566604127579738,0.0,0.0,0.0,0.0009380863039399625,0.0,0.029423076923076923,0.0,0.0,0.0,3.309802382775901,0.0,4.216721651755506,0.0,5.155779997949139,0.0,0.0,0.0,15.993131034283827,1.5921940243125192,29.87569228987082
0.02,0.0001,1,True,2.469172849938141,0.0,6.55189971613261,0.0,0.018776634334165536,0.0,0.011560708602778828,0.0,2.0639223570872156,0.0,9.809100308415157,0.0,0.7439078856492212,0.0,4.788391815223167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01125703564727955,0.0,0.029423076923076923,0.0,0.0,0.0,3.2814504972058383,0.0,4.121699199549761,0.0,5.995108000206528,0.0,0.0,0.0,15.683675218809768,-0.49739352155445865,24.267926442973394
0.02,0.0005,1,True,2.4738017309118963,0.0,6.195152298000633,0.0,0.018990936699254644,0.0,0.011392896647973234,0.0,2.0677104674063,0.0,9.789371227466722,0.0,0.7307165779040159,0.0,4.7740788898265345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.005628517823639775,0.0,0.03346153846153846,0.0,0.0,0.0,3.2209699428340532,0.0,3.956970251601887,0.0,4.501085999436327,0.0,0.0,0.0,15.525610046674737,4.974635541944433,25.686226979028014
0.02,0.001,1,True,2.4906596237852434,0.0,5.967918377006684,0.0,0.019637553326315605,0.0,0.011701049012017982,0.0,2.0721057189910606,0.0,9.803626572362306,0.0,0.729848943686098,0.0,4.773900350985469,0.0,0.99906191369606,0.0,0.0009380863039399625,0.0,0.0,0.0,0.00375234521575985,0.0,0.051923076923076926,0.0,0.0,0.0,3.2848878648999276,0.0,3.97198975051651,0.0,5.426957999588922,0.0,0.0,0.0,14.94995347784795,8.460100486309365,29.965679090539037
0.02,0.0015,1,True,2.507207017367498,0.0,5.85421042319304,0.0,0.02004383511634799,0.0,0.01161006991715546,0.0,2.0743918534369272,0.0,9.791617842956738,0.0,0.7258520457992103,0.0,4.77053426225531,0.0,0.99812382739212,0.0,0.001876172607879925,0.0,0.0,0.0,0.012195121951219513,0.0,0.06,0.0,0.0,0.0,3.2630760103527905,0.0,4.424083300000324,0.0,5.730987999413628,0.0,0.0,0.0,14.38489971435849,10.204228674474878,32.65454199857349
0.015,0.0,1,True,2.5158552845609146,0.0,6.589353217481558,0.0,0.01775954208516618,0.0,0.01124811136421981,0.0,2.0580155775512714,0.0,9.776031961327051,0.0,0.7388134226270033,0.0,4.785262779120747,0.0,0.99812382739212,0.0,0.001876172607879925,0.0,0.0,0.0,0.004690431519699813,0.0,0.01903846153846154,0.0,0.0,0.0,3.147301172635608,0.0,3.6518382489703067,0.0,4.024184998343117,0.0,0.0,0.0,14.089582152652389,-1.071880224175587,17.536584577600298
0.02,0.002,1,True,2.520951301756828,0.0,5.6595163771545804,0.0,0.020917633260669897,0.0,0.012022860396794687,0.0,2.0747500869233586,0.0,9.801130482308174,0.0,0.7280476848590979,0.0,4.76923074984737,0.0,0.99906191369606,0.0,0.0009380863039399625,0.0,0.0,0.0,0.0,0.0,0.06634615384615385,0.0,0.0,0.0,3.2711551725893298,0.0,4.029033698770945,0.0,5.53089999993972,0.0,0.0,0.0,13.91556540004151,13.190575384399807,38.437531728901384
0.015,0.0005,1,True,2.53427089492648,0.0,6.2408783298488295,0.0,0.01803292351407018,0.0,0.011084834393167618,0.0,2.068046753274137,0.0,9.77032686728912,0.0,0.7315476848360739,0.0,4.7745578156016295,0.0,0.9971857410881801,0.0,0.0028142589118198874,0.0,0.0,0.0,0.004690431519699813,0.0,0.027115384615384614,0.0,0.0,0.0,3.260770741109901,0.0,4.10166085075616,0.0,4.50479000028281,0.0,0.0,0.0,13.460733271268586,4.273259266982183,19.345883448383645
0.015,0.0003,1,True,2.5422807920585693,0.0,6.456193186007481,0.0,0.018235367362171986,0.0,0.011346840301713861,0.0,2.0678745863166026,0.0,9.813170436565402,0.0,0.7468888409507813,0.0,4.790985265118231,0.0,0.99812382739212,0.0,0.001876172607879925,0.0,0.0,0.0,0.0,0.0,0.023076923076923078,0.0,0.0,0.0,3.2789367063824155,0.0,3.9974018995053475,0.0,5.7314950026921,0.0,0.0,0.0,13.187214514544003,0.9706168628054713,20.68570169147377
0.02,0.003,1,True,2.5464838002218873,0.0,5.64638408466366,0.0,0.022734536104312683,0.0,0.012730834107311803,0.0,2.0831390247959027,0.0,9.803148894137598,0.0,0.7316435618925126,0.0,4.773455832251155,0.0,0.99812382739212,0.0,0.001876172607879925,0.0,0.0,0.0,0.014071294559099437,0.0,0.075,0.0,0.0,0.0,3.244493804917712,0.0,3.95183504988381,0.0,5.757211001764517,0.0,0.0,0.0,13.043691876440642,13.39200721691863,50.462197327091246
