profile,rank,score,qa,qalpha,right_acc_rms,right_alpha_rms,right_tilt_rms,right_tilt_std,ddq_saturation_any_fraction,qp_success,q_safety_violation_fraction,arm_interval_p99_ms,acc_improvement_pct,alpha_improvement_pct,tilt_change_pct
balanced,1,0.4046700885826061,0.015,0.0015,2.5646648775690997,5.689506087015801,0.018963040827646136,0.010532658357521096,0.05423076923076923,1.0,0.0,4.012930499993671,12.422851734561588,12.730573277514788,25.501605919714898
balanced,2,0.4117517050174379,0.02,0.001,2.4906596237852434,5.967918377006684,0.019637553326315605,0.011701049012017982,0.051923076923076926,0.99906191369606,0.0,3.97198975051651,14.94995347784795,8.460100486309365,29.965679090539037
balanced,3,0.41408248007942783,0.02,0.0015,2.507207017367498,5.85421042319304,0.02004383511634799,0.01161006991715546,0.06,0.99812382739212,0.0,4.424083300000324,14.38489971435849,10.204228674474878,32.65454199857349
balanced,4,0.4171585348985005,0.02,0.002,2.520951301756828,5.6595163771545804,0.020917633260669897,0.012022860396794687,0.06634615384615385,0.99906191369606,0.0,4.029033698770945,13.91556540004151,13.190575384399807,38.437531728901384
balanced,5,0.4298282729741788,0.01,0.0015,2.6280895249249254,5.616968341587842,0.017876512872500288,0.009988544663358762,0.04961538461538462,0.99906191369606,0.0,4.290308099189132,10.25705229864108,13.843205439678423,18.310723165896864
balanced,6,0.4316967672350803,0.01,0.0005,2.601397069865984,5.942628396732008,0.01633799860899384,0.00978161859814997,0.021346153846153845,1.0,0.0,4.178445098386869,11.168535555073857,8.848015016435392,8.128494874801941
balanced,7,0.4317953877309534,0.02,0.0005,2.4738017309118963,6.195152298000633,0.018990936699254644,0.011392896647973234,0.03346153846153846,1.0,0.0,3.956970251601887,15.525610046674737,4.974635541944433,25.686226979028014
balanced,8,0.4355040796257495,0.015,0.001,2.5554615971115897,5.963352279358487,0.018895317704735404,0.011099133919721544,0.04557692307692308,0.99812382739212,0.0,4.036572500535839,12.737121666748486,8.530138327560014,25.053399286588633
balanced,9,0.44582934406390146,0.03,0.002,2.422826533235719,5.813932345255631,0.022840008211173792,0.012986913323967633,0.0751923076923077,1.0,0.0,4.168295551426125,17.26629066494641,10.822040610576517,51.16023510020551
balanced,10,0.4505746703397904,0.03,0.0015,2.418038064986906,5.976132932107184,0.022155612874426807,0.012757549881317396,0.07230769230769231,1.0,0.0,4.17318010040617,17.42980535938403,8.334100179176037,46.63075511720152
linear_priority,1,0.3781722135304853,0.02,0.0005,2.4738017309118963,6.195152298000633,0.018990936699254644,0.011392896647973234,0.03346153846153846,1.0,0.0,3.956970251601887,15.525610046674737,4.974635541944433,25.686226979028014
linear_priority,2,0.38445488758799534,0.02,0.001,2.4906596237852434,5.967918377006684,0.019637553326315605,0.011701049012017982,0.051923076923076926,0.99906191369606,0.0,3.97198975051651,14.94995347784795,8.460100486309365,29.965679090539037
linear_priority,3,0.3858044013477894,0.03,0.001,2.4066087012244064,6.191900109717773,0.02094284904179075,0.011893767751082678,0.06692307692307692,1.0,0.0,3.9613701021153243,17.820090692006833,5.024519767868103,38.604415355528054
linear_priority,4,0.3878316622166434,0.03,0.0005,2.385420445543686,6.372983707799683,0.020582352903849053,0.012184806768298322,0.05961538461538462,0.9971857410881801,0.0,4.126151501077401,18.543618754275656,2.246939156869568,36.21857203795322
linear_priority,5,0.39594288245045545,0.03,0.0015,2.418038064986906,5.976132932107184,0.022155612874426807,0.012757549881317396,0.07230769230769231,1.0,0.0,4.17318010040617,17.42980535938403,8.334100179176037,46.63075511720152
linear_priority,6,0.400299045824272,0.02,0.0015,2.507207017367498,5.85421042319304,0.02004383511634799,0.01161006991715546,0.06,0.99812382739212,0.0,4.424083300000324,14.38489971435849,10.204228674474878,32.65454199857349
linear_priority,7,0.4015204141954258,0.03,0.002,2.422826533235719,5.813932345255631,0.022840008211173792,0.012986913323967633,0.0751923076923077,1.0,0.0,4.168295551426125,17.26629066494641,10.822040610576517,51.16023510020551
linear_priority,8,0.40575807469479835,0.02,0.0003,2.4601105491345074,6.41566963524336,0.01962395650129878,0.012383390064119884,0.029423076923076923,0.9934333958724203,0.0,4.216721651755506,15.993131034283827,1.5921940243125192,29.87569228987082
linear_priority,9,0.4129210684083693,0.03,0.0003,2.3887269595226965,6.579706577885445,0.02027959373758816,0.012436264914033063,0.05423076923076923,0.99906191369606,0.0,4.008669300765174,18.43070924024354,-0.923913653004772,34.21484479199061
linear_priority,10,0.41543403998342443,0.02,0.0,2.456958896857812,6.587933439031624,0.018463638243862057,0.011585959996083478,0.023076923076923078,0.99812382739212,0.0,4.007771649685303,16.100752392977235,-1.0501027184477254,22.196448965457744
angular_priority,1,0.37823170545328544,0.01,0.0015,2.6280895249249254,5.616968341587842,0.017876512872500288,0.009988544663358762,0.04961538461538462,0.99906191369606,0.0,4.290308099189132,10.25705229864108,13.843205439678423,18.310723165896864
angular_priority,2,0.38005180376458125,0.015,0.0015,2.5646648775690997,5.689506087015801,0.018963040827646136,0.010532658357521096,0.05423076923076923,1.0,0.0,4.012930499993671,12.422851734561588,12.730573277514788,25.501605919714898
angular_priority,3,0.38110969403128964,0.006,0.002,2.6959271558024094,5.457425763835575,0.017333482877358253,0.009673595754380947,0.04788461538461539,1.0,0.0,4.1771727992454535,7.940560070243326,16.290375560480726,14.716830336559958
angular_priority,4,0.38672798732076863,0.01,0.002,2.6487116023502173,5.557357433082337,0.018539919001763897,0.00997047226232684,0.05423076923076923,1.0,0.0,3.854274999503103,9.552857864502002,14.75755718341838,22.701291923107075
angular_priority,5,0.3943626004608725,0.02,0.002,2.520951301756828,5.6595163771545804,0.020917633260669897,0.012022860396794687,0.06634615384615385,0.99906191369606,0.0,4.029033698770945,13.91556540004151,13.190575384399807,38.437531728901384
angular_priority,6,0.4017646697398328,0.006,0.001,2.6827743299498925,5.665318436086905,0.016358631986231133,0.009594117928785258,0.03346153846153846,1.0,0.0,4.103436349578259,8.38969749551472,13.10157954731131,8.265051137184303
angular_priority,7,0.40597763898628375,0.01,0.003,2.664587988440181,5.485200286204703,0.019744259230873983,0.010854386953825464,0.06461538461538462,0.99812382739212,0.0,4.057622200252805,9.010717395904805,15.864351471996796,30.67188241019168
angular_priority,8,0.42123879489369215,0.003,0.0015,2.757070197246097,5.49142545722768,0.017494655728384025,0.010405698516427394,0.03519230769230769,0.99906191369606,0.0,4.052211899579556,5.852671998492948,15.768865660378733,15.78350797640893
angular_priority,9,0.4237847572790547,0.02,0.0015,2.507207017367498,5.85421042319304,0.02004383511634799,0.01161006991715546,0.06,0.99812382739212,0.0,4.424083300000324,14.38489971435849,10.204228674474878,32.65454199857349
angular_priority,10,0.42603622229551397,0.001,0.002,2.7918084440466635,5.319041582302771,0.01756225240819199,0.01004978507174012,0.04038461538461539,0.99812382739212,0.0,4.116688348949533,4.6664442705965,18.41300413405564,16.23087778106455
conservative,1,0.3613986884861521,0.01,0.0005,2.601397069865984,5.942628396732008,0.01633799860899384,0.00978161859814997,0.021346153846153845,1.0,0.0,4.178445098386869,11.168535555073857,8.848015016435392,8.128494874801941
conservative,2,0.3924033989622617,0.006,0.001,2.6827743299498925,5.665318436086905,0.016358631986231133,0.009594117928785258,0.03346153846153846,1.0,0.0,4.103436349578259,8.38969749551472,13.10157954731131,8.265051137184303
