run_dir,run_name,qa,qalpha,right_acc_rms,right_alpha_rms,right_tilt_rms,right_tilt_std,right_acc_xyz_rms,right_alpha_xyz_rms,left_acc_rms,left_alpha_rms,left_tilt_rms,walk_distance_xy,qp_success,fallback_fraction,q_safety_violation_fraction,recovery_active_fraction,ddq_saturation_any_fraction,tau_saturation_any_fraction,arm_interval_mean_ms,arm_interval_p99_ms,arm_interval_max_ms,arm_interval_overrun_fraction
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_192648_grid_r01_qa0_qalpha0,20260805_192648_grid_r01_qa0_qalpha0,0.0,0.0,2.928463564257462,6.51947228335566,0.015109799343744696,0.009252430274156155,"[0.8285892791965774, 1.744040243081045, 2.2017407395281188]","[3.302516735206381, 3.2517018465342975, 4.5851212817514355]",2.0249880729264786,9.65493389697608,0.7430085368242257,4.793218234532473,0.9962476547842402,0.00375234521575985,0.0,0.02345215759849906,0.012115384615384615,0.0,3.0306446173059296,3.8441375493675847,4.417575999468681,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_192713_grid_r01_qa0p01_qalpha0,20260805_192713_grid_r01_qa0p01_qalpha0,0.01,0.0,2.6066998844118574,6.453519517202792,0.016252590722141955,0.010180182223524216,"[0.8252650585907987, 1.5149751116236803, 1.9541423391408115]","[3.4185229986686556, 3.5180401201151446, 4.193448268400476]",2.051016963232989,9.727763121819159,0.7325989151577468,4.780435632970649,1.0,0.0,0.0,0.0225140712945591,0.017884615384615384,0.0,3.173166550641497,4.0155295496333565,5.2426220008783275,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_192739_grid_r01_qa0p015_qalpha0,20260805_192739_grid_r01_qa0p015_qalpha0,0.015,0.0,2.5158552845609146,6.589353217481558,0.01775954208516618,0.01124811136421981,"[0.8300927991287693, 1.450101874443254, 1.8808716892504387]","[3.5821111281309035, 3.717142952746539, 4.095229414733936]",2.0580155775512714,9.776031961327051,0.7388134226270033,4.785262779120747,0.99812382739212,0.001876172607879925,0.0,0.004690431519699813,0.01903846153846154,0.0,3.147301172635608,3.6518382489703067,4.024184998343117,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_192804_grid_r01_qa0p02_qalpha0,20260805_192804_grid_r01_qa0p02_qalpha0,0.02,0.0,2.456958896857812,6.587933439031624,0.018463638243862057,0.011585959996083478,"[0.8252265868854057, 1.3833973153060062, 1.8552250454191161]","[3.617777812290807, 3.831266534743085, 3.9539786845359988]",2.058745556693673,9.778661003548306,0.7326847687178631,4.775163443685356,0.99812382739212,0.001876172607879925,0.0,0.0028142589118198874,0.023076923076923078,0.0,3.170954085377967,4.007771649685303,5.309587000738247,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_192830_grid_r01_qa0p03_qalpha0,20260805_192830_grid_r01_qa0p03_qalpha0,0.03,0.0,2.3918365498797187,6.785932936234671,0.020292370626433395,0.01233699701627039,"[0.8275715680525838, 1.318066143931494, 1.8162348475109356]","[3.699549597789618, 4.0707568902778295, 3.9738088691864344]",2.0713363040289416,9.790178609155136,0.7318460989685062,4.772335216747104,1.0,0.0,0.0,0.017823639774859287,0.04692307692307692,0.0,3.178839977507612,3.9611012004570494,4.903029001070536,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_192856_grid_r01_qa0p04_qalpha0,20260805_192856_grid_r01_qa0p04_qalpha0,0.04,0.0,2.312916744500826,6.872455541097625,0.021398802804505145,0.013057617727407187,"[0.8242625147298764, 1.2494113671548048, 1.763277178842804]","[3.8048949708576103, 4.167799206951029, 3.9221001001560722]",2.080154903881338,9.824316319984383,0.7269296073261342,4.767123952105787,1.0,0.0,0.0,0.05628517823639775,0.06461538461538462,0.0,3.179225236396938,3.9838643991970404,5.301320999933523,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_192921_grid_r01_qa0p05_qalpha0,20260805_192921_grid_r01_qa0p05_qalpha0,0.05,0.0,2.306339029373974,7.158090814088349,0.0245417399576277,0.014567224804035366,"[0.8300542674988904, 1.2557140014737713, 1.7473957702602128]","[4.068634312065824, 4.260295299044265, 4.066246783258235]",2.0848051158266867,9.830492920785122,0.7226788157641926,4.761811349264935,0.9793621013133208,0.020637898686679174,0.013133208255159476,0.41088180112570355,0.0726923076923077,0.0,3.227357041304173,4.170931100543385,5.488398001034511,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_192947_grid_r01_qa0p075_qalpha0,20260805_192947_grid_r01_qa0p075_qalpha0,0.075,0.0,2.297136820143831,7.84824058897732,0.17610109288667722,0.161524659292141,"[0.8502871222127131, 1.2067732750656692, 1.7599851257459578]","[4.85044974858111, 4.636036675932525, 4.071262889862196]",2.082702444808118,9.791342151991662,0.7213398965768197,4.762929041252461,0.8846153846153846,0.11538461538461539,0.09099437148217636,0.6575984990619137,0.09346153846153846,0.0,3.405087611611499,5.399382150335432,8.479655003611697,0.004690431519699813
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_193013_grid_r01_qa0p1_qalpha0,20260805_193013_grid_r01_qa0p1_qalpha0,0.1,0.0,2.1625702748756033,7.696583932187158,0.03506573722843232,0.0213122778437162,"[0.8426648694992004, 1.0951046463881415, 1.663541981720491]","[4.603658109095076, 4.602085806199373, 4.106646134273439]",2.0992816021623777,9.874647004360279,0.7234522360001037,4.764407895156228,0.975609756097561,0.024390243902439025,0.005628517823639775,0.199812382739212,0.10153846153846154,0.0,3.212279983109796,4.034682401652387,5.351776999305002,0.0
/home/fjk/g1_ws/hold-my-beer-mpc/evaluation/qa_qalpha_full_20260805_192643/20260805_193044_grid_r01_qa0p075_qalpha0p0003,20260805_193044_grid_r01_qa0p075_qalpha0p0003,0.075,0.0003,2.1889363816698855,7.054556886992995,0.028577576032604763,0.016677667123737076,"[0.8302134389533947, 1.115876692417046, 1.6902684213164516]","[3.9060782194600248, 4.4155768328625165, 3.874533139407654]",2.092141171542751,9.826615566039868,0.7221243343260223,4.763471828099312,0.9896810506566605,0.010318949343339587,0.0150093808630394,0.33771106941838647,0.08596153846153846,0.0,3.3959638620586023,4.441838298680522,7.538361000115401,0.0009380863039399625
