qa,qalpha,samples,acceptable,right_acc_rms,right_acc_rms_std,right_alpha_rms,right_alpha_rms_std,right_tilt_rms,right_tilt_rms_std,right_tilt_std,right_tilt_std_std,left_acc_rms,left_acc_rms_std,left_alpha_rms,left_alpha_rms_std,left_tilt_rms,left_tilt_rms_std,walk_distance_xy,walk_distance_xy_std,qp_success,qp_success_std,fallback_fraction,fallback_fraction_std,q_safety_violation_fraction,q_safety_violation_fraction_std,recovery_active_fraction,recovery_active_fraction_std,ddq_saturation_any_fraction,ddq_saturation_any_fraction_std,tau_saturation_any_fraction,tau_saturation_any_fraction_std,arm_interval_mean_ms,arm_interval_mean_ms_std,arm_interval_p99_ms,arm_interval_p99_ms_std,arm_interval_max_ms,arm_interval_max_ms_std,arm_interval_overrun_fraction,arm_interval_overrun_fraction_std,acc_improvement_pct,alpha_improvement_pct,tilt_change_pct
0.0,0.0,1,True,2.928463564257462,0.0,6.51947228335566,0.0,0.015109799343744696,0.0,0.009252430274156155,0.0,2.0249880729264786,0.0,9.65493389697608,0.0,0.7430085368242257,0.0,4.793218234532473,0.0,0.9962476547842402,0.0,0.00375234521575985,0.0,0.0,0.0,0.02345215759849906,0.0,0.012115384615384615,0.0,0.0,0.0,3.0306446173059296,0.0,3.8441375493675847,0.0,4.417575999468681,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0001,1,True,2.9063514072859133,0.0,6.342467222874824,0.0,0.014901727710082479,0.0,0.00904991639605051,0.0,2.029359764897234,0.0,9.661288501370743,0.0,0.7410335733158694,0.0,4.787952709381346,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004690431519699813,0.0,0.01326923076923077,0.0,0.0,0.0,3.1573385028353256,0.0,3.976923449499735,0.0,5.469461997563485,0.0,0.0,0.0,0.7550770732281687,2.715021289878538,-1.377064174901546
0.0,0.0003,1,False,2.8763157982271714,0.0,6.09957490455573,0.0,0.014788902425565817,0.0,0.0089060543774442,0.0,2.028296322134783,0.0,9.638857709790567,0.0,0.7365847014355316,0.0,4.787057578692928,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03283302063789869,0.0,0.012115384615384615,0.0,0.0,0.0,3.2069251866415245,0.0,4.789352048646798,0.0,7.138666998798726,0.0,0.0009380863039399625,0.0,1.780721012436875,6.440665142053538,-2.123766907015397
0.0,0.0005,1,True,2.863546424763335,0.0,5.981110388579663,0.0,0.015195785513996318,0.0,0.008885228915931333,0.0,2.035936945856959,0.0,9.680389539709601,0.0,0.7465622315220094,0.0,4.792915334428885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01125703564727955,0.0,0.011538461538461539,0.0,0.0,0.0,3.1991338695060754,0.0,4.146061148094304,0.0,5.642034997435985,0.0,0.0,0.0,2.216764459235713,8.257752642808924,0.5690755270500593
0.0,0.001,1,False,2.847880853678374,0.0,5.7009063257723,0.0,0.016427598850643977,0.0,0.009583025482804128,0.0,2.046356078859809,0.0,9.719419259040416,0.0,0.7481826116017203,0.0,4.7969831175968425,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008442776735459663,0.0,0.021923076923076924,0.0,0.0,0.0,3.235140710995228,0.0,4.0166075525121405,0.0,6.843891002063174,0.0,0.0009380863039399625,0.0,2.751706101541345,12.555708836636601,8.721489127152681
0.0,0.0015,1,True,2.829667743616135,0.0,5.50146617830314,0.0,0.017359480404847062,0.0,0.010424610120354604,0.0,2.054903559519723,0.0,9.724565505939706,0.0,0.7460714795678696,0.0,4.792752495547336,0.0,0.99812382739212,0.0,0.001876172607879925,0.0,0.0,0.0,0.01125703564727955,0.0,0.03403846153846154,0.0,0.0,0.0,3.168786429606195,0.0,3.9639494008952156,0.0,5.102504001115449,0.0,0.0,0.0,3.373640083733718,15.614854405493979,14.888887733864653
0.0,0.002,1,True,2.8186267729499535,0.0,5.373927943603521,0.0,0.01686796169810368,0.0,0.009593373746237284,0.0,2.0549890838515092,0.0,9.71262302442256,0.0,0.7413265499269214,0.0,4.789356487834008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.013133208255159476,0.0,0.04096153846153846,0.0,0.0,0.0,3.1579664690234597,0.0,4.032137502144905,0.0,5.786161997093586,0.0,0.0,0.0,3.750662724579896,17.571120636201435,11.63590802472731
0.0,0.003,1,True,2.8210995876724514,0.0,5.309172437544444,0.0,0.018267198408093415,0.0,0.010140215531950828,0.0,2.062205974395684,0.0,9.754488113730373,0.0,0.7472251442648052,0.0,4.79911207857298,0.0,0.99812382739212,0.0,0.001876172607879925,0.0,0.0,0.0,0.008442776735459663,0.0,0.05307692307692308,0.0,0.0,0.0,3.18654532652485,0.0,4.014466249282118,0.0,5.434500002593268,0.0,0.0,0.0,3.666222038594276,18.564383637324998,20.89636660632327
0.0,0.005,1,True,2.8157322748790183,0.0,5.1564754378457085,0.0,0.019656376459464133,0.0,0.010709523058401704,0.0,2.0669192375806027,0.0,9.785763952492585,0.0,0.7464399432978741,0.0,4.794514231326991,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.005628517823639775,0.0,0.07038461538461538,0.0,0.0,0.0,3.2582877026980874,0.0,4.098434299521614,0.0,5.532563998713158,0.0,0.0,0.0,3.8495028845280372,20.906551731030582,30.0902547564384
0.0,0.0075,1,True,2.8292212035563367,0.0,5.255442658171489,0.0,0.023085170040519038,0.0,0.012356131075095443,0.0,2.0711344358060444,0.0,9.773175297379286,0.0,0.7357998127211421,0.0,4.784199115804557,0.0,0.9962476547842402,0.0,0.00375234521575985,0.0,0.0,0.0,0.012195121951219513,0.0,0.0848076923076923,0.0,0.0,0.0,3.168933595762946,0.0,4.035535650837118,0.0,4.456621001736494,0.0,0.0,0.0,3.3888883547126882,19.388526712679848,52.782770408371206
