run_id,scenario,repetition,complete_6ms_count,complete_6ms_mean_ms,complete_6ms_p95_ms,complete_6ms_p99_ms,complete_6ms_max_ms,complete_6ms_overrun_count,mpc_policy_mean_ms,ddq_total_mean_ms,ddq_call_1_mean_ms,ddq_call_2_mean_ms,predictor_mean_ms,other_path_mean_ms,tilt_rms_rad,tilt_p95_rad,tilt_max_rad,position_rms_m,position_p95_m,position_max_m,ee_acc_rms_m_s2,ee_alpha_rms_rad_s2,xy_displacement_m,xy_arc_length_m,handoff_tau_jump_l2_nm,mapper_execution_call_count,mapper_rescue_used_count,mapper_hold_last_succeeded_count,mapper_final_output_uncertified_count,mapper_no_safe_torque_count,mapper_final_unsafe_count,qp_fallback_count,predictor_fallback_count,fallen,nan_inf_count,formal_environment_pass,certified_control_gate_pass
20260815_210609_nominal_rep01,nominal,1,1329,3.3999546455477185,3.6146154001471587,3.7443614404764958,4.441581004357431,0,1.9176845712177024,1.046361161784046,0.5242228306524394,0.5221383311316067,0.3992511927925591,0.3981835084827644,0.0026174037696090435,0.005713166414536852,0.007573684156195679,0.013735420341185463,0.02459307557931569,0.027715762371252197,2.9415089284031826,7.045140289052242,3.222744384939758,3.348566238023936,6.619200331835519,2679,2,0,0,0,0,0,0,False,0,True,True
20260815_210704_nominal_rep02,nominal,2,1329,3.393100687869002,3.5745406028581783,3.664152249111794,4.072484000062104,0,1.9289380279156794,1.0285368193650217,0.5148897267875165,0.5136470925775052,0.3987951331195177,0.39859458701418526,0.0026174037696090435,0.005713166414536852,0.007573684156195679,0.013735420341185463,0.02459307557931569,0.027715762371252197,2.9415089284031826,7.045140289052242,3.222744384939758,3.348566238023936,6.619200331835519,2679,2,0,0,0,0,0,0,False,0,True,True
20260815_210733_nominal_rep03,nominal,3,1329,3.5192935735726922,3.720681204868015,3.8789208765956573,4.50046599144116,0,2.004774983360364,1.0593391135075245,0.5308185364606305,0.528520577046894,0.4168652249487892,0.41730975661450986,0.0026174037696090435,0.005713166414536852,0.007573684156195679,0.013735420341185463,0.02459307557931569,0.027715762371252197,2.9415089284031826,7.045140289052242,3.222744384939758,3.348566238023936,6.619200331835519,2679,2,0,0,0,0,0,0,False,0,True,True
20260815_210806_heldout_pair_02_minus_rep01,heldout_pair_02_minus,1,1329,3.427809814733873,3.6122721940046176,3.760105199471582,4.511410996201448,0,1.9627338021514398,1.0281791481253113,0.5149624340906386,0.5132167140346727,0.4067302956689076,0.3990652790545638,0.002573218408181173,0.0043931493825279215,0.006995778994550064,0.01367970296679454,0.021625722646637296,0.02442577494577801,2.9605531850680005,7.048757099975255,3.2121141125986563,3.3403456414252046,5.74416049284359,2679,3,1,0,0,0,0,0,False,0,True,True
20260815_210837_heldout_pair_02_minus_rep02,heldout_pair_02_minus,2,1329,3.393510863349566,3.5785662024863996,3.696049396530725,4.23262200638419,0,1.9251864372422456,1.0316650436783281,0.5172617561614843,0.5144032875168438,0.3985616545981,0.39865840575480105,0.002573218408181173,0.0043931493825279215,0.006995778994550064,0.01367970296679454,0.021625722646637296,0.02442577494577801,2.9605531850680005,7.048757099975255,3.2121141125986563,3.3403456414252046,5.74416049284359,2679,3,1,0,0,0,0,0,False,0,True,True
20260815_210907_heldout_pair_02_minus_rep03,heldout_pair_02_minus,3,1329,3.378630931440072,3.5658024047734216,3.6888088824343868,4.177050992439035,0,1.916119268620765,1.0277499165011488,0.5168853866304652,0.5108645298706835,0.397543323488974,0.39823350327827833,0.002573218408181173,0.0043931493825279215,0.006995778994550064,0.01367970296679454,0.021625722646637296,0.02442577494577801,2.9605531850680005,7.048757099975255,3.2121141125986563,3.3403456414252046,5.74416049284359,2679,3,1,0,0,0,0,0,False,0,True,True
