bin_id,phase_center,bin_count,acc_H_x,acc_H_y,acc_H_z,acc_H_std_x,acc_H_std_y,acc_H_std_z,omega_H_x,omega_H_y,omega_H_z,omega_H_std_x,omega_H_std_y,omega_H_std_z,alpha_H_x,alpha_H_y,alpha_H_z,orientation_quat_w,orientation_quat_x,orientation_quat_y,orientation_quat_z,orientation_R_00,orientation_R_01,orientation_R_02,orientation_R_10,orientation_R_11,orientation_R_12,orientation_R_20,orientation_R_21,orientation_R_22,orientation_dispersion_rad,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std
0,0.005,81,-0.6226549164275578,2.4293266507828237,-2.385544946313961,0.02526083542003473,0.3013112658803944,0.4855633122746685,-0.5765190769171206,0.012631154760948124,-0.042386782715564814,0.02581242627990472,0.009657963389578274,0.030498929960119023,-12.219389337896079,-3.2549565537487326,-6.821982366891939,0.9999234560548975,0.007340722683654585,0.009507701763042052,0.002966383133771791,0.9998016083565775,-0.005792725346205322,0.01905749880399748,0.006071898954210864,0.9998746287231707,-0.01462391461925931,-0.018970397220163526,0.014736728563862591,0.9997114347953334,0.0014584998073389737,0.044751127911255954,0.001230761832968084,0.03687147880769486,0.0003171873211509417
1,0.015,79,-0.5486536627830503,2.3336828325882712,-2.923996862965717,0.062469771555629355,0.41039724540159483,0.5478289225078546,-0.6931913983837618,-0.019507072558905512,-0.11831136676426285,0.04207872024512481,0.009813881704427404,0.011318484576659646,-14.896611334541545,-3.800830374823109,-5.228022846081594,0.9999404053580324,0.004763885496121368,0.009483210310202743,0.0025612203353636916,0.9998070177452124,-0.005031781544602724,0.018989693044175228,0.0052124892568164985,0.9999414910907471,-0.00947862600595966,-0.018940887602543185,0.009575780370323746,0.9997747482343846,0.0017390725294815228,0.04061962179843005,0.0012466134328976508,0.038072708594240695,0.00040437111897222893
2,0.025,81,-0.593201252290867,1.1541566847062419,-1.533612213862682,0.16510849759590432,0.29671448335596967,0.3538396979897143,-0.8148648582697853,-0.04818213123622162,-0.12603514825287032,0.028705748010169403,0.006790630741624567,0.008168585676296605,-10.610766878125698,-1.5070304354651252,-1.900287203958328,0.9999529588662038,0.0016744525652960286,0.009334462755613537,0.002035698502906099,0.9998174474733387,-0.004039945252467316,0.018674864664964992,0.004102465712894505,0.9999861042804237,-0.003310743290583668,-0.018661229942643548,0.0033867518980118085,0.9998201280273413,0.0020609776069924228,0.036922375863905975,0.0009980707589019727,0.03954391724279046,0.0005042378881964732
3,0.035,80,-0.8802703903462488,-2.4251145108200203,4.9533432267058775,0.16787843496277802,1.281042089779623,2.3146210072379207,-0.8629636684337729,-0.043619559526347516,-0.1487159620275961,0.009462157709932181,0.01171196004248297,0.014471829046739418,2.188428589900572,3.10696706273397,5.543206841184405,0.9999556786137677,-0.0017547511810116784,0.00913967943905849,0.0014240491997495935,0.9998288766872558,-0.002880047894409507,0.018273551007561905,0.002815896441250483,0.9999897858643388,0.0035353775223960046,-0.018283546415622225,-0.003483316109631368,0.999826774216088,0.0021296379324419095,0.03399755189962238,0.0007380146247738082,0.0414996042911947,0.0006811363543383651
4,0.045,81,-0.8824852865311967,-4.38981295960259,7.687960812717029,0.6397401207716279,0.11420022355297027,2.7099051425233207,-0.7798500008313761,0.0015293417675219005,-0.03734383879391984,0.04166138162670593,0.013140361177252518,0.05063664163641122,15.337013300184381,10.114334783863269,10.316365517572546,0.9999454623620414,-0.0050509524199527905,0.009082345634611426,0.0010349777718438881,0.9998328796375705,-0.0021615916445257206,0.018153245362904198,0.0019780936618777676,0.9999468334013263,0.010120153957572783,-0.01817415585682937,-0.010082553854180677,0.9997839977548496,0.0018720915983477713,0.032306341657057536,0.0003203945510382061,0.04402299757411725,0.0008422979872870616
5,0.055,79,-1.3935009721718163,-3.1755731054970915,2.15008942999128,0.39876402426165214,0.42092639904753587,0.19529577107495624,-0.6175714556308228,0.11820979701546479,0.016345886253564652,0.04922675264251682,0.044628177031038115,0.03335194255240121,19.136164824888525,11.656352382120074,-2.1081279716979187,0.9999254698061562,-0.0077778686187492535,0.00934854030121726,0.001079067617926013,0.9998228808146249,-0.0023033978260944576,0.018678901413066953,0.002012550953134656,0.9998766807456508,0.015574753279614653,-0.018712472797718857,-0.015534402451158972,0.999704219107972,0.0014643714642708493,0.031787313747043855,7.93352891582941e-05,0.04733134990511413,0.0011783305272262208
6,0.065,81,-0.5336953027829872,-2.900260512620467,2.6123413994285967,0.1651066899377797,0.03608311487939825,0.11205177620535645,-0.4736713636331597,0.1880309798814431,-0.07107388634108654,0.03916244818906751,0.007324913038423398,0.014380032974263442,15.784761511432661,3.311317610796509,-5.380396293160268,0.9999004312661169,-0.009873091673597498,0.010042552330110942,0.0008926126456955709,0.9997967007707235,-0.001983349618353353,0.020065479118821027,0.0015867454591850108,0.999803450606939,0.019762145463129925,-0.020100730504740885,-0.01972628902631026,0.9996033384070034,0.0012283613231274517,0.03185781756646452,8.091339705622066e-05,0.051600663778143374,0.0013541140163700531
7,0.075,81,-0.7619316647008205,-2.387014327731214,1.003877126307097,0.3510971752129806,0.306836273176695,1.204882195409897,-0.36501527144790025,0.17119087878820893,-0.06974045443699962,0.022886152347788003,0.01003445390098065,0.011430012695050892,9.190275874744366,-4.144240670066126,3.036750329664814,0.9998756729962219,-0.01149483768943437,0.010778498836070915,0.0005755168865760685,0.9997669854863082,-0.0013986848578846584,0.02154108660881336,0.0009030964792590887,0.9997350749736137,0.02299922355759525,-0.021567548501608243,-0.022974410725226855,0.9995033853386688,0.0009770273501178723,0.032162551769661415,0.00011081654887884086,0.056036200432429975,0.0013307025833394922
8,0.085,79,-0.5864186451025819,-2.027712205901302,0.9492142657965776,0.09927811035008656,0.03250674621824452,0.19700401523448371,-0.32662694963724986,0.12172312916038508,-0.02248588106644951,0.005973202599506244,0.02189199709936451,0.021321195959382845,3.0236882965281806,-8.361363964404147,8.387748506810583,0.9998529975247672,-0.01284089596256422,0.011355151555778365,0.0003940364982466334,0.9997418105367667,-0.0010795777873459167,0.02269684507742717,0.0004963365082783197,0.9996699122522333,0.02568696532645923,-0.02271708420414492,-0.025669067949834836,0.9994123438480478,0.0008325991698997563,0.0325210048670211,0.00010857787555247476,0.060554344651106415,0.0013494737911677586
9,0.095,80,-0.45593519467861177,-1.893673882963681,1.0375013961339135,0.12417800805401438,0.0767249191385417,0.634217076512708,-0.31663625870344936,0.037409055357742596,0.06446352167196971,0.0017912047255477753,0.028036943030747018,0.02959869258529106,1.974833743574409,-7.045476076007145,6.303389910270826,0.9998326254854296,-0.014110546629588001,0.011634543359668448,0.0005008887488861791,0.9997287730225465,-0.001329949358931091,0.02325105643914796,0.0006732702925688307,0.9996012831685509,0.028228024991125675,-0.02327932769533754,-0.028204714543656532,0.9993310597492524,0.0008062969864594669,0.032856412448127745,9.606290664864726e-05,0.06484005441570523,0.0012162203304588737
