bin_id,phase_center,bin_count,acc_H_x,acc_H_y,acc_H_z,acc_H_std_x,acc_H_std_y,acc_H_std_z,omega_H_x,omega_H_y,omega_H_z,omega_H_std_x,omega_H_std_y,omega_H_std_z,alpha_H_x,alpha_H_y,alpha_H_z,orientation_quat_w,orientation_quat_x,orientation_quat_y,orientation_quat_z,orientation_R_00,orientation_R_01,orientation_R_02,orientation_R_10,orientation_R_11,orientation_R_12,orientation_R_20,orientation_R_21,orientation_R_22,orientation_dispersion_rad,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std,acc_H_raw_x,acc_H_raw_y,acc_H_raw_z,omega_H_raw_x,omega_H_raw_y,omega_H_raw_z
0,0.005,81,-0.47967750289146993,1.993721279576739,-2.1840009805608163,0.02526083542003473,0.3013112658803944,0.4855633122746685,-0.5993047111701264,0.004305604146728106,-0.058802978260721186,0.02581242627990472,0.009657963389578274,0.030498929960119023,-11.141165295251026,-2.4943579124844404,-3.950493687488896,0.9999279858987534,0.006932389757065203,0.009401462178623785,0.0027527254898261264,0.9998080700225631,-0.0053747053093309415,0.01883973621352854,0.005635403709765051,0.9998887289492676,-0.013812021765333245,-0.01876340434956981,0.01391554034365618,0.9997271089623201,0.0014584998073389737,0.044751127911255954,0.001230761832968084,0.03687147880769486,0.0003171873211509417,-0.6226549164275578,2.4293266507828237,-2.385544946313961,-0.5765190769171206,0.012631154760948124,-0.042386782715564814
1,0.015,79,-0.5996088790791456,1.1062789710338228,-0.8247848869628773,0.062469771555629355,0.41039724540159483,0.5478289225078546,-0.6890440341963731,-0.013221075251890466,-0.08892178173085719,0.04207872024512481,0.009813881704427404,0.011318484576659646,-9.135818087314812,-1.4834535940830647,-2.2347275906325996,0.9999438543551821,0.004307491936437818,0.009376283666603128,0.0024122510490053603,0.99981253269896,-0.004743454690654209,0.018772295962105848,0.004905007755804796,0.9999512531161882,-0.008569264278829926,-0.01873073295433683,0.008659736079272068,0.9997870616356418,0.0017390725294815228,0.04061962179843005,0.0012466134328976508,0.038072708594240695,0.00040437111897222893,-0.5486536627830503,2.3336828325882712,-2.923996862965717,-0.6931913983837618,-0.019507072558905512,-0.11831136676426285
2,0.025,81,-0.7054531016757841,-0.1795522604690547,1.1596300032561093,0.16510849759590432,0.29671448335596967,0.3538396979897143,-0.7454778005671634,-0.01942965335860093,-0.09455861971084278,0.028705748010169403,0.006790630741624567,0.008168585676296605,-4.040265132095669,0.9316968965120543,0.38185598836501866,0.9999536832777823,0.0013946906228658167,0.009309574145038893,0.0020044865928883293,0.9998186277254739,-0.003982819551753315,0.01862387718946803,0.004034755454805155,0.9999880737431308,-0.002751930217616855,-0.018612694634848985,0.002826573883853776,0.999822773334609,0.0020609776069924228,0.036922375863905975,0.0009980707589019727,0.03954391724279046,0.0005042378881964732,-0.593201252290867,1.1541566847062419,-1.533612213862682,-0.8148648582697853,-0.04818213123622162,-0.12603514825287032
3,0.035,80,-0.8596223128246359,-1.3005322117250377,2.0667568785171575,0.16787843496277802,1.281042089779623,2.3146210072379207,-0.7536882763099038,0.001686075092302404,-0.08281208591701689,0.009462157709932181,0.01171196004248297,0.014471829046739418,2.2308457004612468,3.9139586836858156,1.3246268674038213,0.9999543101814637,-0.0016290664343926245,0.009277742438618388,0.0016270179187399681,0.9998225526158695,-0.0032841152787603974,0.018549336039940734,0.003223659043585625,0.9999893979104889,0.0032881741116718797,-0.018559938121059032,-0.0032277938988995343,0.99982253927559,0.0021296379324419095,0.03399755189962238,0.0007380146247738082,0.0414996042911947,0.0006811363543383651,-0.8802703903462488,-2.4251145108200203,4.9533432267058775,-0.8629636684337729,-0.043619559526347516,-0.1487159620275961
4,0.045,81,-0.8566306408246231,-2.3473208807667856,3.1740245309960207,0.6397401207716279,0.11420022355297027,2.7099051425233207,-0.7097842693597834,0.04319368558037213,-0.07336458983238164,0.04166138162670593,0.013140361177252518,0.05063664163641122,8.36712026965608,5.336388280809739,1.2941521779880871,0.9999446991101943,-0.004556489942751037,0.00938959636148866,0.0012932907611168352,0.999820325758351,-0.0026720056847491657,0.018766368484217744,0.0025008712791987063,0.9999551315968176,0.009136762886055484,-0.018789939949602073,-0.009088188973155767,0.9997821477591399,0.0018720915983477713,0.032306341657057536,0.0003203945510382061,0.04402299757411725,0.0008422979872870616,-0.8824852865311967,-4.38981295960259,7.687960812717029,-0.7798500008313761,0.0015293417675219005,-0.03734383879391984
5,0.055,79,-0.8903767233066139,-3.0555550832542764,3.6815223990299764,0.39876402426165214,0.42092639904753587,0.19529577107495624,-0.6198143519954065,0.08706828758525824,-0.06210565106920749,0.04922675264251682,0.044628177031038115,0.03335194255240121,12.327328820230104,4.8089462338895395,2.281559684712717,0.9999268099349148,-0.007190352179404672,0.00967838343320683,0.0010012507382251735,0.9998106527821581,-0.002141536884061098,0.019340951452531414,0.0018631729424128066,0.9998945926649907,0.014399032811236001,-0.019369748834242324,-0.014360270857006703,0.9997092554593119,0.0014643714642708493,0.031787313747043855,7.93352891582941e-05,0.04733134990511413,0.0011783305272262208,-1.3935009721718163,-3.1755731054970915,2.15008942999128,-0.6175714556308228,0.11820979701546479,0.016345886253564652
6,0.065,81,-0.8316063742578806,-2.976074622270533,2.8806966068481166,0.1651066899377797,0.03608311487939825,0.11205177620535645,-0.5125470082361018,0.12013682532260476,-0.03685963487697817,0.03916244818906751,0.007324913038423398,0.014380032974263442,12.49438076155563,2.5152800284619157,2.8504680178379522,0.9999042060118423,-0.009407572443354247,0.010121460608077226,0.0007952456914317918,0.9997938472388987,-0.0017807757711569743,0.020226019403094375,0.0013999022755448029,0.9998217303300266,0.01882944060482117,-0.02025594472890401,-0.01879724441306289,0.9996181072317644,0.0012283613231274517,0.03185781756646452,8.091339705622066e-05,0.051600663778143374,0.0013541140163700531,-0.5336953027829872,-2.900260512620467,2.6123413994285967,-0.4736713636331597,0.1880309798814431,-0.07107388634108654
7,0.075,81,-0.7462963558873636,-2.476846806942751,1.5506047235314928,0.3510971752129806,0.306836273176695,1.204882195409897,-0.4199042598105164,0.1273127680406489,-0.016498162783800258,0.022886152347788003,0.01003445390098065,0.011430012695050892,9.82194485023363,-0.9166821435121668,2.047872896377607,0.999880298957642,-0.01121948194819896,0.010631888385238911,0.0006884261431608117,0.9997729780376184,-0.001615256035294686,0.021245783904862207,0.0011381189160408693,0.9997472985885189,0.02245091646886122,-0.02127667904360565,-0.022421639389198954,0.9995221723483557,0.0009770273501178723,0.032162551769661415,0.00011081654887884086,0.056036200432429975,0.0013307025833394922,-0.7619316647008205,-2.387014327731214,1.003877126307097,-0.36501527144790025,0.17119087878820893,-0.06974045443699962
8,0.085,79,-0.5503956090059535,-2.0223387460532223,1.1031860634110364,0.09927811035008656,0.03250674621824452,0.19700401523448371,-0.3553958906323637,0.1054699110264101,-0.004093668534936458,0.005973202599506244,0.02189199709936451,0.021321195959382845,6.395445416511863,-3.8084623979773147,1.5018030726029883,0.9998571718518063,-0.012730582181591867,0.01109761642650659,0.0006411579176736628,0.9997528636523495,-0.0015646909204260157,0.02217573812188141,0.0009995744486763116,0.9996750423876847,0.025471758441505205,-0.022208387376130703,-0.025443297142948566,0.9994295503739358,0.0008325991698997563,0.0325210048670211,0.00010857787555247476,0.060554344651106415,0.0013494737911677586,-0.5864186451025819,-2.027712205901302,0.9492142657965776,-0.32662694963724986,0.12172312916038508,-0.02248588106644951
9,0.095,80,-0.4758828192941727,-1.597476271341799,0.6450342635052756,0.12417800805401438,0.0767249191385417,0.634217076512708,-0.3175771331463266,0.06637736967301186,0.007530686377847557,0.0017912047255477753,0.028036943030747018,0.02959869258529106,3.3352059979279876,-5.169219996346794,1.0949949324386294,0.9998357483203492,-0.014053454487067088,0.0114264314245993,0.0006430105492873499,0.9997380464046649,-0.0016069715353995914,0.02283103618911256,0.0009646481994987937,0.9996041739088268,0.028116986999018833,-0.022867182267069016,-0.028087597735231926,0.9993438741637577,0.0008062969864594669,0.032856412448127745,9.606290664864726e-05,0.06484005441570523,0.0012162203304588737,-0.45593519467861177,-1.893673882963681,1.0375013961339135,-0.31663625870344936,0.037409055357742596,0.06446352167196971
