bin_id,phase_center,bin_count,acc_W_x,acc_W_y,acc_W_z,acc_W_std_x,acc_W_std_y,acc_W_std_z,omega_W_x,omega_W_y,omega_W_z,omega_W_std_x,omega_W_std_y,omega_W_std_z,alpha_W_x,alpha_W_y,alpha_W_z,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std,omega_W_raw_x,omega_W_raw_y,omega_W_raw_z
0,0.005,81,-0.5668570193635939,2.4429494033794206,-2.385544946313961,0.02701569307975333,0.30115642839136064,0.4855633122746685,-0.5990489321477849,0.018028906320911527,-0.058802978260721186,0.026022868078684234,0.009077187556310276,0.030498929960119023,-11.195366151472006,-2.238564937018075,-3.950493687488896,0.044751127911255954,0.001230761832968084,0.03687147880769486,0.0003171873211509417,-0.5760785707382752,0.025831087209543444,-0.042386782715564814
1,0.015,79,-0.4950700057687823,2.3456347745424155,-2.923996862965717,0.06859178780237787,0.40941804636022744,0.5478289225078546,-0.6891660820722929,0.002561883314109728,-0.08892178173085719,0.042292097457322105,0.008850666146812918,0.011318484576659646,-9.167393546830757,-1.2738434828012075,-2.2347275906325996,0.04061962179843005,0.0012466134328976508,0.038072708594240695,0.00040437111897222893,-0.6934563082860636,-0.003628270154115682,-0.11831136676426285
2,0.025,81,-0.5666138614295185,1.1674379407536422,-1.533612213862682,0.1690021457070261,0.29451882869246415,0.3538396979897143,-0.745727228897077,-0.002352589403907794,-0.09455861971084278,0.028833410085504496,0.006225124207275903,0.008168585676296605,-4.017870839618451,1.023968070080755,0.38185598836501866,0.036922375863905975,0.0009980707589019727,0.03954391724279046,0.0005042378881964732,-0.8157545791219232,-0.029508245987388777,-0.12603514825287032
3,0.035,80,-0.9355714800957337,-2.404321706933171,4.9533432267058775,0.18157126781741603,1.279172922371044,2.3146210072379207,-0.7534520155061881,0.018945372435401807,-0.08281208591701689,0.009634101530005556,0.01156927733257528,0.014471829046739418,2.319892872094172,3.861842427415938,1.3246268674038213,0.03399755189962238,0.0007380146247738082,0.0414996042911947,0.0006811363543383651,-0.8637362715740304,-0.023846394352525065,-0.1487159620275961
4,0.045,81,-0.9827880985294702,-4.368451493169374,7.687960812717029,0.6408098192967627,0.10802358599525703,2.7099051425233207,-0.7086089429435702,0.05943688943474722,-0.07336458983238164,0.041928834809236794,0.012261646397487672,0.05063664163641122,8.487133125015943,5.143380920489566,1.2941521779880871,0.032306341657057536,0.0003203945510382061,0.04402299757411725,0.0008422979872870616,-0.7796104147650921,0.019388876264947112,-0.03734383879391984
5,0.055,79,-1.465854465923543,-3.1428289707085515,2.15008942999128,0.40693709231736946,0.41303781517436716,0.19529577107495624,-0.617657885505933,0.10123946716323487,-0.06210565106920749,0.050221424228795504,0.04350663220546195,0.03335194255240121,12.434225056483754,4.525384859092793,2.281559684712717,0.031787313747043855,7.93352891582941e-05,0.04733134990511413,0.0011783305272262208,-0.6147025037838311,0.13232089640609143,0.016345886253564652
6,0.065,81,-0.5999742832874061,-2.8872770370416783,2.6123413994285967,0.1650261244782223,0.03650310295099406,0.11205177620535645,-0.5096613420398302,0.1318430471802319,-0.03685963487697817,0.03922760604977062,0.006971039729175029,0.014380032974263442,12.548707444950479,2.228490095291103,2.8504680178379522,0.03185781756646452,8.091339705622066e-05,0.051600663778143374,0.0013541140163700531,-0.4692409454729739,0.19882931484261135,-0.07107388634108654
7,0.075,81,-0.8163937203557753,-2.3689406011890144,1.003877126307097,0.34496081921330984,0.31371761515243435,1.204882195409897,-0.4168785663867254,0.13689530868789251,-0.016498162783800258,0.022694986733259908,0.010462488740308216,0.011430012695050892,9.798377040464704,-1.1413754581248463,2.047872896377607,0.032162551769661415,0.00011081654887884086,0.056036200432429975,0.0013307025833394922,-0.36099929193373737,0.17950464265504948,-0.06974045443699962
8,0.085,79,-0.6327032137791835,-2.013750187802632,0.9492142657965776,0.09990512743335768,0.030532588169613385,0.19700401523448371,-0.3528873093923949,0.11358103985023436,-0.004093668534936458,0.005567734503261756,0.02199958277387945,0.021321195959382845,6.306551844015161,-3.9539219105261276,1.5018030726029883,0.0325210048670211,0.00010857787555247476,0.060554344651106415,0.0013494737911677586,-0.32375355424351576,0.12917150573246008,-0.02248588106644951
9,0.095,80,-0.4991808762798472,-1.882736455340656,1.0375013961339135,0.12268541418656864,0.07908697301138481,0.634217076512708,-0.3159737368824828,0.07363255811947447,0.007530686377847557,0.0015252471675580043,0.028052947918977052,0.02959869258529106,3.215953175330983,-5.244240945114901,1.0949949324386294,0.032856412448127745,9.606290664864726e-05,0.06484005441570523,0.0012162203304588737,-0.3156965364995688,0.044650183803250275,0.06446352167196971
10,0.105,80,-0.43456891182707846,-0.8933147980651169,-0.0870038706110026,0.14462659870765487,0.2767757798696021,0.15369736009170853,-0.30143205858709915,0.02967318472839595,0.013426250384081613,0.008038465644609622,0.004506904341856376,0.030945842821014778,1.2301722290401946,-5.238129015285227,0.9719704695049557,0.0331441708909704,7.96761248529363e-05,0.06877181989752021,0.0011808892047125417,-0.29474621881217866,0.015749552217800552,0.0783683574978837
11,0.115,81,-0.1788576820374867,-0.7720547592299951,0.3215823998997922,0.027955159419437207,0.024680151999210836,0.08048994725784905,-0.2962909812178397,-0.010177506125089164,0.023082213889926848,0.0008510726734327286,0.010904609319076594,0.019235040095055427,0.4166398875847452,-4.303999150864315,1.1232141459256417,0.03338180440035223,6.510429438112601e-05,0.07254133634341117,0.0010694709506108922,-0.2846730829234135,-0.0009130938111880306,-0.012952111777166502
12,0.125,79,-0.0002085548845447107,-0.9982642659345461,0.3302167873830111,0.08148186938844887,0.16463923359894894,0.09606576644964074,-0.2947658203857432,-0.03919080168543309,0.03139767671889188,0.002752763482434938,0.010995868920577393,0.00958667149829614,0.08188295061653875,-3.2632002021963222,0.9574181578231755,0.03357035458943238,5.021862122189536e-05,0.07568636045756644,0.0008399668597600836,-0.28829090045681893,-0.04029222430034314,-0.04026263440582936
