bin_id,phase_center,bin_count,acc_W_x,acc_W_y,acc_W_z,acc_W_std_x,acc_W_std_y,acc_W_std_z,omega_W_x,omega_W_y,omega_W_z,omega_W_std_x,omega_W_std_y,omega_W_std_z,alpha_W_x,alpha_W_y,alpha_W_z,orientation_quat_w,orientation_quat_x,orientation_quat_y,orientation_quat_z,orientation_R_00,orientation_R_01,orientation_R_02,orientation_R_10,orientation_R_11,orientation_R_12,orientation_R_20,orientation_R_21,orientation_R_22,orientation_dispersion_rad,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std
0,0.005,81,-0.5668570193635939,2.4429494033794206,-2.385544946313961,0.02701569307975333,0.30115642839136064,0.4855633122746685,-0.5760785707382752,0.025831087209543444,-0.042386782715564814,0.026022868078684234,0.009077187556310276,0.030498929960119023,-12.290726727805747,-2.9743443755719,-6.821982366891939,0.9998918591328485,0.0074491198400219215,0.009423014987879404,-0.008484541354904408,0.9996784386930703,0.017107633994287885,0.018717587219054255,-0.01682686132269174,0.9997450463432118,-0.015056528492190906,-0.018970396680415474,0.014736728650780719,0.9997114348042944,0.0014581773909252541,0.044751127911255954,0.001230761832968084,0.03687147880769486,0.0003171873211509417
1,0.015,79,-0.4950700057687823,2.3456347745424155,-2.923996862965717,0.06859178780237787,0.40941804636022744,0.5478289225078546,-0.6934563082860636,-0.003628270154115682,-0.11831136676426285,0.042292097457322105,0.008850666146812918,0.011318484576659646,-14.979750523978,-3.458708324808264,-5.228022846081594,0.9999041772912285,0.004872160885089544,0.009428039533918868,-0.008888776879200321,0.9996642034322774,0.017867720115924655,0.01876765712521039,-0.017683980414163705,0.9997945033878032,-0.009910995522522496,-0.018940887329318902,0.009575780563221357,0.9997747482377133,0.001738652318266117,0.04061962179843005,0.0012466134328976508,0.038072708594240695,0.00040437111897222893
2,0.025,81,-0.5666138614295185,1.1674379407536422,-1.533612213862682,0.1690021457070261,0.29451882869246415,0.3538396979897143,-0.8157545791219232,-0.029508245987388777,-0.12603514825287032,0.028833410085504496,0.006225124207275903,0.008168585676296605,-10.642497705497924,-1.2636327624005865,-1.900287203958328,0.9999107046747077,0.0017812350033831281,0.00931467529696561,-0.009415237803929223,0.9996491802424151,0.01886197738578184,0.01859414557772688,-0.018795610883045426,0.9998163609979164,-0.00373755166082279,-0.01866122858229302,0.0033867521288735254,0.9998201280519496,0.0020606578243395177,0.036922375863905975,0.0009980707589019727,0.03954391724279046,0.0005042378881964732
3,0.035,80,-0.9355714800957337,-2.404321706933171,4.9533432267058775,0.18157126781741603,1.279172922371044,2.3146210072379207,-0.8637362715740304,-0.023846394352525065,-0.1487159620275961,0.009634101530005556,0.01156927733257528,0.014471829046739418,2.2590102723019436,3.056070140770993,5.543206841184405,0.9999064265376136,-0.0016499804027565285,0.009159172665564267,-0.01002623007579401,0.9996311685330993,0.020020358862654984,0.01834971738640789,-0.020080808684269563,0.9997935045502755,0.003115988071857004,-0.018283545053853534,-0.0034833159616524875,0.9998267742415058,0.0021294416865456417,0.03399755189962238,0.0007380146247738082,0.0414996042911947,0.0006811363543383651
4,0.045,81,-0.9827880985294702,-4.368451493169374,7.687960812717029,0.6408098192967627,0.10802358599525703,2.7099051425233207,-0.7796104147650921,0.019388876264947112,-0.03734383879391984,0.041928834809236794,0.012261646397487672,0.05063664163641122,15.56461048688746,9.76045567241353,10.316365517572546,0.9998917463030977,-0.004946613690018149,0.009139591366361104,-0.010416072081131182,0.9996159466241132,0.020739468950094368,0.018380252513120518,-0.020920309061190426,0.9997340729108048,0.009701759116669912,-0.01817415537410956,-0.010082553686526318,0.9997839977653153,0.001872014389428052,0.032306341657057536,0.0003203945510382061,0.04402299757411725,0.0008422979872870616
5,0.055,79,-1.465854465923543,-3.1428289707085515,2.15008942999128,0.40693709231736946,0.41303781517436716,0.19529577107495624,-0.6147025037838311,0.13232089640609143,0.016345886253564652,0.050221424228795504,0.04350663220546195,0.03335194255240121,19.398091830757384,11.215027411104014,-2.1081279716979187,0.9998722713097585,-0.007670312977941054,0.00943698822068713,-0.01037066140647546,0.9996067852706297,0.02059390424451052,0.0190306581306356,-0.020883442857397773,0.9996672313616254,0.01514293089875399,-0.018712473255531915,-0.015534402136888566,0.9997042191042861,0.0014638367271254706,0.031787313747043855,7.93352891582941e-05,0.04733134990511413,0.0011783305272262208
6,0.065,81,-0.5999742832874061,-2.8872770370416783,2.6123413994285967,0.1650261244782223,0.03650310295099406,0.11205177620535645,-0.4692409454729739,0.19882931484261135,-0.07107388634108654,0.03922760604977062,0.006971039729175029,0.014380032974263442,15.856450740630857,2.948984140559878,-5.380396293160268,0.9998450906486025,-0.009757443429336595,0.010154953923885,-0.010557647200729874,0.9995708259927774,0.020913850668019797,0.020512792943734388,-0.021310196221779105,0.9995866567666164,0.019297438978471224,-0.020100730362502327,-0.019726288661943408,0.9996033384170542,0.0012275233637973168,0.03185781756646452,8.091339705622066e-05,0.051600663778143374,0.0013541140163700531
7,0.075,81,-0.8163937203557753,-2.3689406011890144,1.003877126307097,0.34496081921330984,0.31371761515243435,1.204882195409897,-0.36099929193373737,0.17950464265504948,-0.06974045443699962,0.022694986733259908,0.010462488740308216,0.011430012695050892,9.092961951841133,-4.353613069384454,3.036750329664814,0.9998167117840024,-0.011370664331682786,0.010909414000167558,-0.010873615601733647,0.9995254983398374,0.021495150622954592,0.022062109332433903,-0.021991339761559658,0.9995049449528038,0.022499910897249464,-0.021567548400117653,-0.022974409994361438,0.9995033853576583,0.000976587199034109,0.032162551769661415,0.00011081654887884086,0.056036200432429975,0.0013307025833394922
8,0.085,79,-0.6327032137791835,-2.013750187802632,0.9492142657965776,0.09990512743335768,0.030532588169613385,0.19700401523448371,-0.32375355424351576,0.12917150573246008,-0.02248588106644951,0.005567734503261756,0.02199958277387945,0.021321195959382845,2.831422214635535,-8.42840367823745,8.387748506810583,0.9997919475744792,-0.012710018649047321,0.011501455902834324,-0.011055926161386287,0.9994909660176583,0.021814884460231623,0.023279168049460855,-0.0223996193362965,0.9994324438453097,0.02516043010325759,-0.022717083938686017,-0.025669067092098295,0.9994123438761121,0.0008327257045693536,0.0325210048670211,0.00010857787555247476,0.060554344651106415,0.0013494737911677586
9,0.095,80,-0.4991808762798472,-1.882736455340656,1.0375013961339135,0.12268541418656864,0.07908697301138481,0.634217076512708,-0.3156965364995688,0.044650183803250275,0.06446352167196971,0.0015252471675580043,0.028052947918977052,0.02959869258529106,1.8129584644585688,-7.08887209466622,6.303389910270826,0.9997728102223318,-0.01397639678565594,0.011795356801834531,-0.010947960127289696,0.9994820234539373,0.021561232551543262,0.023891380104155494,-0.022220658899106564,0.9993696050038824,0.027688172790447926,-0.023279327965225326,-0.028204713174262486,0.9993310597816146,0.0008064837777490649,0.032856412448127745,9.606290664864726e-05,0.06484005441570523,0.0012162203304588737
10,0.105,80,-0.43456891182707846,-0.8933147980651169,-0.0870038706110026,0.14462659870765487,0.2767757798696021,0.15369736009170853,-0.29474621881217866,0.015749552217800552,0.0783683574978837,0.008038465644609622,0.004506904341856376,0.030945842821014778,1.9389658485097077,-2.847704850902394,-4.838477090571013,0.9997579882698826,-0.01519868174976827,0.011852039069684068,-0.010606325165551727,0.9994940700727465,0.020847245881084553,0.024020745795858348,-0.021567787360708343,0.9993130118791037,0.030138593820509225,-0.02337593715295523,-0.030641420141500796,0.9992570584859198,0.0007469843785702256,0.0331441708909704,7.96761248529363e-05,0.06877181989752021,0.0011808892047125417
11,0.115,81,-0.1788576820374867,-0.7720547592299951,0.3215823998997922,0.027955159419437207,0.024680151999210836,0.08048994725784905,-0.2846730829234135,-0.0009130938111880306,-0.012952111777166502,0.0008510726734327286,0.010904609319076594,0.019235040095055427,0.4034573972099831,-3.5026110323839807,-7.414436993982067,0.9997401461932991,-0.0163525707996457,0.01187467233719934,-0.010546358353848382,0.9994955329647127,0.02069887284473331,0.024088093460097867,-0.021475598525199896,0.9992427355074296,0.03244617394414286,-0.023398253173458908,-0.032947112143353406,0.9991831711702535,0.0007245846858597328,0.03338180440035223,6.510429438112601e-05,0.07254133634341117,0.0010694709506108922
12,0.125,79,-0.0002085548845447107,-0.9982642659345461,0.3302167873830111,0.08148186938844887,0.16463923359894894,0.09606576644964074,-0.28829090045681893,-0.04029222430034314,-0.04026263440582936,0.002752763482434938,0.010995868920577393,0.00958667149829614,-0.8359427796128318,-4.32305342023609,2.421628014996448,0.9997204456028213,-0.01749529189602355,0.011760464553785512,-0.010706861288380814,0.9994941091896611,0.020996230756052697,0.023888993055474185,-0.021819241796857958,0.9991585557656486,0.034728966695159576,-0.02313971440135236,-0.03523263734581678,0.9991112124699042,0.0007402825439512808,0.03357035458943238,5.021862122189536e-05,0.07568636045756644,0.0008399668597600836
13,0.135,80,0.06971171114205679,-1.271946759884909,0.4428302878619716,0.0035682880590258916,0.02065477372934023,0.02387241544996813,-0.2980481673972188,-0.07008194853496548,0.025793936462776675,0.0029662681212323126,0.009053561918392771,0.026750684489341803,-1.2362394926416984,-3.7577543561328866,9.143966888914015,0.9997018565605984,-0.018661596177127066,0.011513692502856016,-0.010741401322191032,0.9995041143651706,0.021046669927721855,0.02342142292964838,-0.02190612544770551,0.999072734251515,0.037064718305569226,-0.02261961615424363,-0.03755941107306315,0.999038359426143,0.0007906535274604875,0.03371542085486448,3.8648603199112905e-05,0.07816009897230643,0.0006686067387769108
14,0.145,80,0.01644472150150925,-1.323419833886204,0.3559974903824285,0.1011215352103561,0.09162782738574854,0.14662585435468045,-0.3080707323390861,-0.10041629399846932,0.10604083581679488,0.0028578340701304445,0.009267648824222971,0.021611354355076655,0.13917377961754004,-1.8848773513262589,5.474409969758494,0.9996857077167373,-0.019878329729869908,0.01113905386622721,-0.01045271605861474,0.9995333244119265,0.02045601012997347,0.022686670967880112,-0.02134171327250006,0.9989911854682971,0.03951129751401274,-0.02185554082233671,-0.03997703098291389,0.9989615469722317,0.0008745096395219058,0.03382513893255317,2.8902364186162237e-05,0.08000609057505485,0.00047928754059506546
