count,phase,lin_acc_local_x,lin_acc_local_y,lin_acc_local_z,ang_vel_local_x,ang_vel_local_y,ang_vel_local_z,ang_acc_local_x,ang_acc_local_y,ang_acc_local_z,quat_w,quat_x,quat_y,quat_z,R00,R01,R02,R10,R11,R12,R20,R21,R22,lin_acc_world_x,lin_acc_world_y,lin_acc_world_z,ang_vel_world_x,ang_vel_world_y,ang_vel_world_z,left_foot_z,right_foot_z
7.104,0.8799999999999997,0.1778712144565394,1.4176637217628902,9.710230213100042,-0.18069210325390986,0.00830098849148676,0.0685694680651267,-2.544206518922856,-0.012124467515820837,0.5709371012937378,0.9983517673135665,0.023548863611070763,0.006309449860110712,-0.051955659624030925,0.9945216005509891,0.10403720996362009,0.01015110735261669,-0.10344288846675354,0.9934921209113181,-0.04767572246737089,-0.015045094321854776,0.046364475949983684,0.9988112837301799,0.4229561324839192,0.9270959847407355,-0.04825934920377151,-0.1781425320209677,0.023669180816576704,0.0715913591407688,0.07298187805149473,0.034365922003248645
7.106,0.8824999999999994,0.15921452264682437,1.4273827379737636,9.522251859798141,-0.18552918264245258,0.009127665845907094,0.06950403390942853,-2.41853969427136,0.41333867721016737,0.4672829221509106,0.9983596702142477,0.023364552566850105,0.00632656529126127,-0.051884883585344724,0.9945358668539013,0.10389518526536937,0.010207841095635646,-0.10330391579610823,0.9935241130773722,-0.04730896019795221,-0.015056909455454388,0.045995947783423516,0.9988281445099326,0.4038443811601043,0.9512038508962428,-0.23565030009025278,-0.18285761981825333,0.0249462836016199,0.07263591697173469,0.07275425165049934,0.03437326363943839
7.1080000000000005,0.8850000000000002,0.14296046461645218,1.4350661583359552,9.355689184566721,-0.19004441438926267,0.010660903815838922,0.07011138171322852,-2.2576158734050473,0.7666189849659136,0.3036739018999965,0.9983676602488659,0.023175816150564972,0.0063454312390741905,-0.05181343471871198,0.9945502069700799,0.10375183627474137,0.010268509404508788,-0.10316359408357002,0.99355649905681,-0.04693352786373057,-0.015071783953189465,0.04561841351465918,0.9988452340962908,0.3871410911533099,0.9719754938212222,-0.401803674114003,-0.18718268393462176,0.026907300608747513,0.07338106135406047,0.07251351718070982,0.03438081669155061
7.11,0.8875,0.128541327484955,1.4445238749197566,9.205069416432009,-0.1941975561541087,0.012817159465637683,0.07034803089404744,-2.0765708824230096,1.0781278248993804,0.11832459040946042,0.9983757031980465,0.022983045620975,0.006366659309183011,-0.051741671088506025,0.9945645302444193,0.10360790495797079,0.010334273555390721,-0.10302260407254615,0.993589158173906,-0.04655027185076404,-0.015090998303921188,0.045232585483130756,0.9988624905264499,0.3726344427750434,0.9935221148151238,-0.552001704534197,-0.19108704637593624,0.029467008660880593,0.07377839759418754,0.07226346080631817,0.034388634935692636
7.112,0.8899999999999997,0.11429262492254677,1.4545424891223135,9.068040013358305,-0.19797132847676602,0.01558561595544962,0.07007411056619225,-1.886886161328663,1.3842282449059682,-0.1369601639275922,0.998383757566469,0.02278664794283875,0.00639085255157807,-0.05167009102615811,0.994578717394025,0.10346441147928927,0.010406270422220547,-0.10288190705069965,0.9936219407377553,-0.046160070257180795,-0.015115823115770534,0.044839206524881624,0.9988798513583862,0.35853087149024654,1.0149253236018305,-0.688624635377554,-0.19455630323069198,0.032619251921352455,0.07368696338232203,0.07200727771388492,0.03439675616006087
7.114,0.8924999999999994,0.1034838423798177,1.4620701479916502,8.94668054305704,-0.20131927805884237,0.018946472251400587,0.06913861063802013,-1.6739747910381741,1.6804281479754837,-0.4677499640860644,0.998391773473429,0.02258707436969044,0.006418595156196441,-0.05159934464913803,0.9945926185360007,0.10332267700092305,0.010485588732371109,-0.10274276785635529,0.9936546634063951,-0.04576388908231867,-0.015147501672440583,0.04443910786780719,0.9988972514152779,0.3478004801167454,1.0327257083572672,-0.8097798249083947,-0.197548108656905,0.03634629864976877,0.07295381655817465,0.0717476451159286,0.03440518926828888
7.1160000000000005,0.8950000000000002,0.09562910912154657,1.461815699094077,8.83999932428653,-0.20422776100970888,0.022806453347679622,0.06756869299142702,-1.454241475433257,1.9299905481395176,-0.7849588232965512,0.9983997031356855,0.02238478502956804,0.006450376676401973,-0.05153005742755861,0.9946060916444901,0.1031839686670007,0.01057312980151177,-0.10260640748595672,0.9936871491613851,-0.0453627020176825,-0.015187086833820553,0.04403314889542499,0.9989146280798251,0.3394157000640367,1.0417690601099816,-0.916679342002606,-0.20005850225402227,0.04055245798975029,0.07160122052573735,0.0714867851315716,0.03441392076110995
7.118,0.8975,0.0898764743280688,1.4580484244458105,8.752697053060437,-0.20665899537748872,0.027069274515490422,0.06560805998244026,-1.2156171838899192,2.1314105839054,-0.9803165044933795,0.9984075115003687,0.022180274259645257,0.006486582812252401,-0.051462614166284754,0.9946190471731838,0.10304906946169529,0.010669596214790964,-0.10247357271856064,0.993719269553878,-0.0449575378729854,-0.015235415800096968,0.043622271838887006,0.9989319193543734,0.33303112997524625,1.046181142632996,-1.004417453990568,-0.20205749801385234,0.04512676844821267,0.06986734425817845,0.07122650671397124,0.03442292275370279
7.12,0.8999999999999997,0.2626668332057886,1.3298154580393007,10.088770380123385,-0.20859615002261994,0.0316344107940187,0.06334821183864064,-0.9685773225656114,2.282568139264139,-1.1299240718998098,0.9984151688675174,0.02197404853031797,0.006527495862576915,-0.051397310865432186,0.9946314164671324,0.10291858063582497,0.010775487761263813,-0.10234483859236211,0.9937509152539787,-0.04454943821624426,-0.015293115774403197,0.04320745528015751,0.9989490659779026,0.5068308255766142,0.8451736811702488,0.321608695733568,-0.20353790762705265,0.04996333673571454,0.06783856450966778,0.07096827373160995,0.03443215898738643
7.122,0.9024999999999994,0.2095190824653013,1.359402673894242,9.778970954952191,-0.21237373541057156,0.028605060039233268,0.06243790136630991,-1.8887926939758075,-1.514675377392716,-0.45515523616536724,0.9984228331341716,0.021763888507649473,0.006565598293842748,-0.05133295581207629,0.9946436411332786,0.10278977624859534,0.010876077045394469,-0.1022182044515825,0.9937825216092441,-0.044133189581842605,-0.015344895953642973,0.042785063313451915,0.998966452152141,0.45448636128225706,0.8979567736667852,0.01381100151773218,-0.20761679832302327,0.0473800868648254,0.06685609098575333,0.07066877343394977,0.034441409321731495
