bin_id,phase_center,bin_count,acc_H_raw_x,acc_H_raw_y,acc_H_raw_z,acc_H_smooth_x,acc_H_smooth_y,acc_H_smooth_z,acc_H_std_x,acc_H_std_y,acc_H_std_z,omega_H_raw_x,omega_H_raw_y,omega_H_raw_z,omega_H_smooth_x,omega_H_smooth_y,omega_H_smooth_z,omega_H_std_x,omega_H_std_y,omega_H_std_z,alpha_H_x,alpha_H_y,alpha_H_z,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std
0,0.005,81,-0.6203599831660045,2.4137496326484853,-2.393898850049922,-0.46845390053240543,1.9524518313836121,-2.1346097908807846,0.02440094775572963,0.3027968015773483,0.4843785917324353,-0.5745677026397663,0.011482809540515539,-0.051924958463134066,-0.596200318411654,0.0033681249030020725,-0.06860513625838928,0.02594513917359033,0.00963686644167393,0.030491297098860646,-10.947386976047461,-2.436713322387105,-3.91922781705773,0.04477478127121035,0.0012361382657327827,0.03683698353396953,0.00031649695565305624
1,0.015,79,-0.5598927205214133,2.223993321185687,-2.744508081079386,-0.5757897757151226,1.0688942664631287,-0.7830544287850055,0.07256418480500393,0.4695238502431999,0.6432770038879849,-0.690658018159719,-0.019960274775929935,-0.12755230641508927,-0.6843845998705803,-0.013617952415913084,-0.09827743684871323,0.04156801394733605,0.009288695276649895,0.011271750110736457,-8.985092560884624,-1.4101144027972186,-2.1578982855259623,0.04064880653002847,0.0012459692883867337,0.0380297815824451,0.00040599013629217916
2,0.025,81,-0.5278098524361686,1.1128308652771146,-1.436766486686172,-0.6723382594058473,-0.20146911262731892,1.1705655521415115,0.14217731204576,0.28867923881751506,0.31905812730492317,-0.8066684062465254,-0.04816829531669763,-0.1358863688885241,-0.739961799385808,-0.019193705541753425,-0.10313150882680468,0.027710972279709634,0.007047850429264522,0.007597725943718694,-3.961028237206156,1.0118383870214018,0.4559800194777882,0.037040212864283606,0.0009810752325456068,0.039491941314680416,0.000507404568013123
3,0.035,80,-0.8169988260071603,-2.424160449492591,4.905337302496163,-0.8290282680358545,-1.3141180641817987,2.0614659192217273,0.161677156989113,1.2638509115874206,2.2656103331787545,-0.8540356803923238,-0.04266656635006802,-0.15675185113805165,-0.7477610516658788,0.002571461776429345,-0.09098175653706862,0.009295578087739821,0.012200794321526546,0.014957608465482084,2.263534667764383,3.977123043713214,1.3293144208994851,0.03417200122372088,0.0007339564000522348,0.041442752088212055,0.0006841647625983286
4,0.045,81,-0.8366299148984901,-4.33375893275529,7.522663876026873,-0.8244278431028293,-2.3318983191349885,3.1176174576419773,0.6668178425864284,0.13971641478520144,2.6812845326603303,-0.7738791894907054,0.0033437991934129295,-0.04354205922922423,-0.7037452447015778,0.044440263157658005,-0.08186247809241291,0.04022807534565657,0.012989213747995939,0.05079071738583198,8.299450061936566,5.36603005952072,1.23888839631508,0.0324944486025105,0.0003287370573261039,0.0439534691514037,0.0008461358632266906
5,0.055,79,-1.40381002631604,-3.1494951251239125,2.0606029853511596,-0.869865074458906,-3.0293079422742784,3.601709509332384,0.3951770529757122,0.42422449770900356,0.2030791060977157,-0.6135639640401201,0.12030864613142939,0.008823802985546147,-0.6149698506748937,0.08842794272876088,-0.07115954219602734,0.04916397788232344,0.04501167172163807,0.033280610719546425,12.156590921158775,4.802364070952071,2.2129102693669958,0.03195062165968552,8.682250838458258e-05,0.04725420516601855,0.001190631331455051
6,0.065,81,-0.5368905958562872,-2.8649079535802624,2.536249611021864,-0.8220560830697934,-2.9485874138829793,2.810579673668338,0.1626291407885993,0.012942760434605818,0.10588626521378935,-0.47057898333821474,0.18938373213021337,-0.08195591419181074,-0.5092397899630374,0.12127808829289113,-0.04645591378254098,0.03934587136268196,0.006592663194700241,0.01499412698546782,12.326598236452268,2.474567395448644,2.7721492549066595,0.03199279514056593,7.535557248841086e-05,0.0515209902562237,0.0013705941358619416
7,0.075,81,-0.7549960092165521,-2.3742172504193335,0.983693771765861,-0.7442373663469795,-2.4598809498811556,1.5133182236430476,0.3471899950188892,0.2988535844132646,1.173384623689258,-0.36279143611310477,0.17177010253881672,-0.08237168940659623,-0.41774427889165744,0.12802102105593918,-0.02680515411752078,0.022983126595529986,0.009584712546255245,0.009611290062357343,9.69871602941376,-0.9684855676929645,1.9668362474003056,0.032269454941488585,0.00010314358561481284,0.05596396833618461,0.001343115593128075
8,0.085,79,-0.5779538690615976,-2.020557807536098,0.9496881241759307,-0.5460048171010015,-2.008585099736923,1.0855552380115017,0.09967177899063565,0.030247555163607543,0.19888140317472808,-0.3253853768330419,0.12158416147058322,-0.033233709070619816,-0.3540603334924173,0.1057823192098037,-0.01498653382413609,0.005915298635708056,0.021848500674599505,0.021602206709058075,6.294103379171814,-3.842501676499574,1.4512734067866138,0.03260495912056562,0.00010185457989130349,0.06048901166047362,0.001360849949472086
9,0.095,80,-0.44753633128442016,-1.8902266127461704,1.0363566259004209,-0.4692810150735347,-1.5891413626339963,0.6440917816499556,0.12704640099327896,0.06796759902554518,0.6278056408027591,-0.3164016341338056,0.03705846300865322,0.05471173909587673,-0.3170386248249084,0.066540994231946,-0.0035847796089349595,0.0017375460782944416,0.027991951429420892,0.03002875419131018,3.239033494881225,-5.173421489235843,1.0773204282216395,0.03292039650103947,9.092262019834614e-05,0.06477561878312862,0.0012288795757251236
10,0.105,80,-0.41264728008615004,-0.8930158744027479,-0.07821194280656873,-0.3125244430739852,-1.3133085819336994,0.5152941329778918,0.13590888816963453,0.2816147766027631,0.14985223309398998,-0.2951442370439195,0.009115136900751936,0.06791690445246958,-0.3022357975743177,0.02300757538203022,0.0022505930274101405,0.008045801711460781,0.004812106790997288,0.031126867671418555,1.2701852009689985,-5.19815928686812,0.9488417088490069,0.033193014114477434,7.539779162765226e-05,0.06870891260012088,0.001193746194395318
11,0.115,81,-0.1532715857189537,-0.7676892680656304,0.32893232921413373,-0.176593052062427,-1.1635111630773844,0.41466297720700696,0.027541613020661007,0.017577937411939065,0.07781421697623862,-0.28547044000067007,-0.00682289275907517,-0.024947143115805065,-0.29671566160940444,-0.016629554357943936,0.011596687732649151,0.0014674903247845076,0.010373262252605783,0.01950643231499152,0.46297893792165284,-4.286761828189336,1.0805044920030984,0.03341859919131661,6.163344788025447e-05,0.07248274915146521,0.0010780185895296426
12,0.125,79,0.02878685078119568,-0.9950533469178505,0.3397055284055422,-0.07726677865903962,-1.050523789988329,0.27830961635686075,0.08251619409359535,0.16955184812202184,0.09410231154644406,-0.2887772998601513,-0.04589699171076209,-0.05319482622487071,-0.29482813456757123,-0.045580613868999156,0.019538664899459716,0.0027700036623578505,0.010760051448287938,0.009057335666546715,0.12454073190730497,-3.263046045584884,0.9200382055987542,0.03359857280975659,4.755770189175822e-05,0.0756376626203911,0.0008444948992412108
13,0.135,80,0.10170308599619313,-1.2715707132545222,0.44653234532150654,0.008442239896829632,-1.0634459707137476,0.29238244180361644,0.004803054647284968,0.015668583962864528,0.023331473093281187,-0.29778469700847554,-0.07660148722928756,0.01349676445557522,-0.29472300989888756,-0.06883829108730208,0.026317299022229217,0.0027760225551413473,0.009223622274724102,0.026809703048904454,0.08070261050639391,-2.6380768026939223,1.0537901972133346,0.03373687647196921,3.679426358045087e-05,0.07811436405484781,0.0006710137594032125
14,0.145,80,0.049095035732516855,-1.3252897473008938,0.35458982164968994,0.059317211048449975,-1.0812990256318795,0.22399958154053207,0.09989566245003177,0.09701277592670654,0.14605838872300622,-0.30696399892463966,-0.1076968345466229,0.09442162492992956,-0.29353689279946893,-0.08778984271210191,0.03639930805487307,0.0026151950443400853,0.00949846654486537,0.022065245041175633,0.30944377241142945,-1.999953552796344,1.2101335311776011,0.033841840933034086,2.7401432197734775e-05,0.07996137407068857,0.0004736402731423494
15,0.155,81,0.015897812693196182,-0.9576267780298411,-0.00784781557279043,0.08518990710629412,-1.0975143670942396,0.1796634077737418,0.06423850311062673,0.1940130631875882,0.01606006907022998,-0.2946186137005013,-0.10717324919076268,0.10181007506631709,-0.2897719095403047,-0.10083754793204358,0.04567943552107084,0.007060906723091404,0.005979381562108146,0.023128433380128537,0.7612103672130117,-1.3778442386710565,0.7488612220136964,0.033919872662454345,2.0366336284939177e-05,0.08132152764474958,0.00039253875138660864
16,0.165,79,0.101103270039148,-0.8569545426562898,-0.01298197210128795,0.10912820899168288,-1.1078198743105028,0.10942874125388793,0.011839021014760516,0.02504596889551616,0.01257655014817178,-0.27953985450357666,-0.10158065088307429,0.025462902047414176,-0.28135752692406074,-0.10983535053083882,0.04838108760709221,0.00313158803683363,0.001672566500719695,0.017880721304604136,1.348052269809108,-0.8905691260607868,-0.10078817673266852,0.03397796707593651,1.530430586899866e-05,0.08243706159904608,0.0003012660684625671
17,0.175,80,0.15815033107041637,-1.076130054229651,0.11802465957159067,0.1447308919491025,-1.1222297368833158,0.01963137844545983,0.02837868195777609,0.14528948257615726,0.11349663513705786,-0.2699523835643302,-0.11113551781047046,-0.006794188893881841,-0.26820307322335896,-0.11508665394901617,0.04406682469334814,0.0034757522370763424,0.0035661606420718,0.005331859532995003,1.8324307651136456,-0.5138563054223351,-0.6121881943209547,0.03402247363714171,1.234252667098785e-05,0.08320393796880056,0.00019784837528793612
18,0.185,80,0.22139459542313694,-1.3230982493358379,0.09535901272223742,0.19399017796657084,-1.1594846291279197,-0.004548891986303372,0.0068478912776881295,0.02274942797327938,0.06262876429584088,-0.2557127839272558,-0.12159050022326372,0.0270050248856821,-0.2520386346822424,-0.11805705141759618,0.038586076497956937,0.004672181696578164,0.003281372367045289,0.014635085234548035,2.161077447541942,-0.2417112717676027,-0.429768593131815,0.03405790095934273,9.803515169333226e-06,0.08360852709135591,0.00010717537913540077
19,0.195,82,0.22710845051961487,-1.3973390601649596,-0.09439699239245054,0.23515444706564664,-1.19734828524309,-0.05562018193436872,0.01894102222713416,0.10131287055853869,0.0708153430626781,-0.24119173042113065,-0.13395335163750965,0.07285031036120916,-0.2336258340626879,-0.11895403429729781,0.0371905272032391,0.004069032760036435,0.004246341607331378,0.013139367852882491,2.463419303576152,0.06453253048723222,-0.05725081555478951,0.03408533936194334,7.819629736942859e-06,0.08369335505807654,6.751542521670526e-05
20,0.205,78,0.26219424278053793,-1.14390123925286,-0.12874916773160644,0.2742617220305703,-1.2191050951588025,-0.09925992379775163,0.015373516782567497,0.15202961035920504,0.05394807681718808,-0.2137964209949186,-0.12202523653366266,0.0744063340893611,-0.21262392582502398,-0.11702453092980046,0.037670063449080304,0.009667646989696991,0.007557620377951627,0.016360381491911845,2.839953003472664,0.40498527779067595,-0.22235864489977092,0.03410502869181342,5.504087933215164e-06,0.08358623725047322,6.837115512675522e-05
21,0.215,81,0.306924615534527,-1.0462728232321405,-0.26833842184161466,0.29890072319236854,-1.2102410604001708,-0.15334613356257681,0.010278300026076777,0.018310164294024343,0.04330465366350716,-0.18747585140580406,-0.10606556528158255,0.018485155573824987,-0.18818658600712526,-0.112474269852647,0.033632788884842765,0.006783864945750826,0.0027571217416053734,0.01339636578969716,3.216024732666812,0.6776401537284685,-0.8349516147361266,0.03411878697071967,4.682216418483948e-06,0.08343376868250789,8.04631691410601e-05
22,0.225,79,0.35368670589503476,-1.1849141038082145,-0.10017404974532383,0.3257705929222727,-1.1998298159877792,-0.18847308323290482,0.021186500244318243,0.07607117457909834,0.18077943154149334,-0.1649428423760107,-0.10148800097298372,-0.004396507664675874,-0.161167530102355,-0.10618228847014496,0.02431083761330228,0.008568995327377078,0.0013504842909887486,0.00297916942365362,3.4872042805549306,0.8163042338070938,-1.2367795334438998,0.03412952747673898,3.8410267632981615e-06,0.08317891091094479,0.00010582740819485554
23,0.235,82,0.3445896012321281,-1.278778075542679,-0.17507203610188846,0.3650814216488264,-1.2073168437162567,-0.1757636164086498,0.01157641521371817,0.01137631567536134,0.06962184778211875,-0.13352608483776215,-0.09883919483749638,0.006818652064494441,-0.13239131751824637,-0.0994134021117335,0.013844316349740367,0.009160145685923805,0.0006009998614307681,0.005424565855905879,3.684027659612217,0.9039542234099661,-1.0767387408783051,0.03413663826803285,3.079684539620031e-06,0.08280760377623457,0.00013489556934453135
24,0.245,79,0.3614577991691357,-1.345282838103001,-0.2700317407440907,0.3981755456606465,-1.2164385187299858,-0.18311762261539144,0.0707389901756346,0.07525405659918659,0.20110943976916007,-0.10609645089727933,-0.10249344472499947,0.026240554003506732,-0.10222308754855952,-0.0917190208955855,0.0070830177592493965,0.007268947283552818,0.002097521717111632,0.006270117629431745,3.8181258902868938,1.0674093924838275,-0.7516112168038914,0.034142976588994185,3.37206716894924e-06,0.08234128381029644,0.00015018435479709606
25,0.255,80,0.4587483864133062,-1.1813363778952477,-0.06520183361033136,0.4347370786604895,-1.2050114718066327,-0.16627645335351357,0.01319061836052237,0.10996119966988427,0.08889522646360971,-0.06991535807437557,-0.08818080474160538,0.02207372777155155,-0.07130130327365607,-0.08233485183199225,0.001818536880878104,0.012383157737891925,0.008216528927137203,0.011606610573625194,3.90948115542979,1.33845473682312,-0.8571693566353289,0.03415187480293412,4.6129515210021925e-06,0.08184710429089079,0.00014708024085295082
26,0.265,80,0.47239523559362767,-1.0918811983007868,-0.3051084528753228,0.4738263881642751,-1.1816493984824368,-0.15731426890809516,0.007815459699777802,0.011012412400249486,0.06455413021051874,-0.036634701557369795,-0.06759365920084251,-0.015321337378629868,-0.03967138906168289,-0.07030374510641559,-0.0066316919469158655,0.008249591463029008,0.004678782307566956,0.008229666330835815,3.9417599296737733,1.6912405717194174,-1.2487333082487535,0.034163393322216996,6.299343067207691e-06,0.08137163250873677,0.00014240053630228605
27,0.275,81,0.5364943708942498,-1.127778869191449,-0.015968203435934428,0.5093285864472507,-1.148301980329672,-0.15855707700100347,0.03225493581143934,0.03689647950180421,0.28702634666493904,-0.010333921001493478,-0.0545671556550175,-0.030718912056532342,-0.008233144398875694,-0.05527500268448157,-0.018161196051101954,0.009878785895300966,0.004748509132772771,0.00285393906327109,3.88837573353836,1.8941234524610193,-1.4453477597772033,0.03417774478211067,7.099795498835142e-06,0.08088943210530763,0.00014895564999403533
28,0.285,79,0.5400361487510561,-1.1619677089216986,-0.13026111387479652,0.5377468330802151,-1.1271005465346116,-0.12353981676100052,0.004855217268204999,0.009659790022752973,0.09806302856574135,0.024623486222103773,-0.03868366120961301,-0.0354324920744754,0.022542622674930873,-0.039997769867039276,-0.029757256103351122,0.009513789906554528,0.0043600168324244145,0.0013211564633582656,3.836419125306484,1.8969332208280487,-1.3039224405660865,0.03419396302658096,7.53919918781574e-06,0.08036637029975494,0.00016072778902451396
29,0.295,77,0.5389687905840136,-1.1785457473391772,-0.27624578120863225,0.558748092690881,-1.1082478995963807,-0.12210444477590784,0.051132954663910844,0.029786624075958678,0.29014995440649777,0.05109477241675659,-0.02734973261532941,-0.0314069665174237,0.05314956160602805,-0.024924071151232793,-0.03902395510015934,0.00647877190686425,0.0029417748374485483,0.0028655046206037273,3.7964344449352407,1.9318430485070055,-1.1563593851961445,0.03421201375770032,7.969595197381796e-06,0.07982696726286938,0.00016441261429852149
30,0.305,80,0.6008396195781287,-1.0753292089199458,0.10988446758968336,0.585549871640497,-1.0882506395539908,-0.10583634575961708,0.02080141945367189,0.07368168826940295,0.14823383103696347,0.08396347729465725,-0.011794640654393968,-0.03590657248969429,0.08328557379389473,-0.009088281090927186,-0.048259006266489435,0.012590398230559545,0.006773161394431204,0.0072814647079620905,3.749653432208492,1.9837935524110124,-1.1933681485224281,0.03423111976958295,8.485471603285745e-06,0.07927110045429198,0.00018248609716747945
31,0.315,80,0.5774015336469562,-0.9976179636096336,-0.2979315929498593,0.6096397659304414,-1.0681251772901184,-0.10133332854132601,0.002994112790714241,0.0034706493714006317,0.10568023823257665,0.1163999930981161,0.007774834378189932,-0.06165483236267094,0.11314401652136392,0.006816625687343406,-0.05811784547651819,0.007758582357981102,0.005789454953537661,0.006871088080516844,3.7108038231490528,2.0630087443344647,-1.3192278307741518,0.03425201843288704,9.05546291369864e-06,0.07867936945515483,0.00018594697688456804
