count,phase,quat_w,quat_x,quat_y,quat_z,yaw,yaw_unwrapped,yaw_fit_line,lin_acc_local_x,lin_acc_local_y,lin_acc_local_z,ang_vel_local_x,ang_vel_local_y,ang_vel_local_z,ang_acc_local_x,ang_acc_local_y,ang_acc_local_z,lin_acc_world_x,lin_acc_world_y,lin_acc_world_z,ang_vel_world_x,ang_vel_world_y,ang_vel_world_z,ang_acc_world_x,ang_acc_world_y,ang_acc_world_z,left_foot_z,right_foot_z
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.022809613485667422,-6.784215499127811,0.00023933343615716924,2.615940541580631,0.0,0.0,0.0,0.0,0.0,0.0,-6.784215499127811,0.00023933343615716924,-7.194059458419369,0.0,0.0,0.0,0.0,0.0,0.0,0.036136247577825256,0.036136247577825256
0.002,0.0025,0.999999974001138,2.766901594491762e-09,0.00022803009177471312,-1.9842372311543363e-08,-3.9683485844581274e-08,-3.9683485844581274e-08,-0.022809629180326654,-4.915306370280455,6.727466328783127e-05,1.9396825794026564,2.763195057341283e-06,0.22803009375093228,-1.984237276523889e-05,0.0013815975286706414,114.01504687546614,-0.009921186382619445,-4.914421247138115,6.745896838414807e-05,-7.868075946847975,2.7631950575982617e-06,0.22803009375093244,-1.9842371074823955e-05,0.0013815975287991308,114.01504687546623,-0.009921185537411977,0.036089609964538805,0.03608960876650195
0.004,0.005,0.9999998023695643,6.82269118479933e-09,0.0006286977255631057,-4.780774943716722e-08,-9.560697673632766e-08,-9.560697673632766e-08,-0.022809644874985883,-3.462854173844722,-6.23400399482039e-05,1.080873431569643,4.045119777021311e-06,0.40066767322891866,-2.7965565533179413e-05,0.000640962359840014,86.31878973899319,-0.004061596383970262,-3.4614923513219353,-6.202378109464723e-05,-8.724773246659474,4.048266280469915e-06,0.40066767322891333,-2.796518656290662e-05,0.0006425356114358265,86.31878973899045,-0.004061407744041332,0.03600772584197934,0.03600772288083483
0.006,0.0075,0.9999993322992751,1.1685892675684311e-08,0.0011555955167787803,-7.731927892343298e-08,-1.546118592018805e-07,-1.546118592018805e-07,-0.022809660569645115,-2.3350598216417926,-0.0001426924235042756,0.25782520349822613,4.844059282853494e-06,0.5268980069966059,-2.9512087066561302e-05,0.0003994697529160917,63.115166883843635,-0.0007732607666909442,-2.334457702280722,-0.0001423374684326942,-9.546778719385976,4.857331244029425e-06,0.5268980069965455,-2.9510983402102182e-05,0.00040453248177975534,63.1151668838161,-0.0007728984195977809,0.03590297005233449,0.03590296495417389
0.008,0.01,0.9999984336696927,1.7277490654425084e-08,0.0017699316796095435,-1.0504913770330281e-07,-2.1003810232235024e-07,-2.1003810232235024e-07,-0.022809676264304343,-1.462561324614506,-0.00017854795448028098,-0.42633286454084596,5.562583997910637e-06,0.614336829733393,-2.773063170916899e-05,0.00035926235752857126,43.71941136839352,0.0008907276786961556,-1.4640613189648632,-0.00017822587236273376,-10.231152934302395,5.593495132293559e-06,0.6143368297331793,-2.7729148807050285e-05,0.0003680819441320669,43.71941136831686,0.0008909172975259487,0.03578567944366216,0.03578567185297861
0.01,0.012499999999999999,0.9999970245616319,2.3618626406854304e-08,0.0024394400722286646,-1.2965322363514386e-07,-2.591935281253976e-07,-2.591935281253976e-07,-0.022809691958963575,-0.7955205907659846,-0.00018166964810878607,-0.9352987388382311,6.301405933572793e-06,0.6695098879904353,-2.460454419788402e-05,0.0003694109678310781,27.586529128521164,0.001563043755642486,-0.8000743196057427,-0.00018141868432775706,-10.741406369101895,6.354973534103015e-06,0.6695098879899566,-2.460379286705099e-05,0.0003807392009047281,27.58652912838866,0.0015626779699996474,0.035662997849013486,0.03566298738700077
0.012,0.015,0.9999950780526505,3.0822139918684474e-08,0.003137494294773291,-1.5094052500659778e-07,-3.0169209523007334e-07,-3.0169209523007334e-07,-0.022809707653622804,-0.2946459162340469,-0.00014647298780339786,-1.2690611783188097,7.1533846828629895e-06,0.6980569506118078,-2.1286409368739905e-05,0.0004259893746450982,14.273531310686261,0.001659067414572057,-0.3026034205840364,-0.00014630466524091283,-11.077187302717894,7.230536668629557e-06,0.698056950610949,-2.1288507632238315e-05,0.00043778156726327096,14.27353131049619,0.0016576426174063376,0.03553871682295966,0.03553870304269163
0.014,0.017499999999999998,0.9999926181710831,3.8659821695289975e-08,0.0038423434662492478,-1.69367749462446e-07,-3.3844590317291715e-07,-3.3844590317291715e-07,-0.022809723348282036,0.07757151871455316,0.00020579956326163576,0.9477006035233322,7.77918466053744e-06,0.7048534784745863,-1.84246431974943e-05,0.00031289998883722554,3.398263931389256,0.0014308830856228018,0.08485195699760986,0.00020569880147384392,-8.862923487848363,7.876334929478798e-06,0.7048534784733596,-1.8430298103047064e-05,0.0003228991304246205,3.398263931205292,0.0014291047645956254,0.03541359944031977,0.03541358200315921
0.016,0.02,0.9999896882621581,4.329715849364962e-08,0.004541295995238826,-1.847818038259439e-07,-3.691817739280503e-07,-3.691817739280503e-07,-0.022809739042941268,0.13282537566159958,0.0002461470521136808,1.0716574498702742,4.570117622411325e-06,0.6989586840701681,-1.54236431045091e-05,-0.0016045335190630575,-2.947397202209101,0.0015005000464926002,0.1425532241412586,0.00024600342038019865,-8.739593138736618,4.688425802238335e-06,0.6989586840697921,-1.5405162850272288e-05,-0.0015939545636202317,-2.947397201783719,0.0015125676263873877,0.03528359584732078,0.03528357613795899
0.018000000000000002,0.022500000000000003,0.9999863457202433,4.485482953805624e-08,0.0052257413859948774,-1.990433618846292e-07,-3.976342061900843e-07,-3.976342061900843e-07,-0.022809754737600496,0.1371326732082098,0.0002678812377741728,1.1397688272898643,1.4887644881495013e-06,0.6844535658482686,-1.4284592120728435e-05,-0.001540676567130912,-7.252559110949797,0.0005695254918903329,0.1490372951834983,0.0002677220941747615,-8.67172664335294,1.6121790754089124e-06,0.6844535658489308,-1.423939413665253e-05,-0.0015381233634147113,-7.252559110430656,0.000582884356809879,0.03514244615285668,0.03514242550168785
