count,phase,quat_w,quat_x,quat_y,quat_z,yaw,yaw_unwrapped,yaw_fit_line,lin_acc_local_x,lin_acc_local_y,lin_acc_local_z,ang_vel_local_x,ang_vel_local_y,ang_vel_local_z,ang_acc_local_x,ang_acc_local_y,ang_acc_local_z,lin_vel_world_x,lin_vel_world_y,lin_vel_world_z,lin_acc_world_x,lin_acc_world_y,lin_acc_world_z,ang_vel_world_x,ang_vel_world_y,ang_vel_world_z,ang_acc_world_x,ang_acc_world_y,ang_acc_world_z,left_foot_z,right_foot_z
0.02,0.024999999999999998,0.9999863457202431,4.485482953805625e-08,0.005225741385994878,-1.990433618846292e-07,-3.9763420619008426e-07,-3.9763420619008426e-07,-0.022821174988680692,0.1371326732082098,0.0002678812377741728,1.1397688272898643,-1.3282622938485815e-06,0.6632544937083987,-1.4850660671008476e-05,-0.0014158416269153715,-10.599536069918924,-0.0002830342751400226,-0.039367569519496416,6.327643926107668e-07,-0.18331596410437886,0.14903729518349837,0.00026772209417476165,-8.671726643352939,-1.219058916730982e-06,0.6632544937102343,-1.4777847700414886e-05,-0.0014229468818754692,-10.599536069329284,-0.0002691552075819393,0.03514244615285668,0.03514242550168785
0.022,0.027499999999999997,0.9999826597737866,4.35735883199095e-08,0.005888985625395301,-2.1385704329563142e-07,-4.2722309378513504e-07,-4.2722309378513504e-07,-0.022822108396840787,-0.4645520882690927,0.310540831102498,-1.6382527348030007,0.023504154693622673,0.606897336116384,-0.016795387330471805,11.75274147795826,-28.17857879600738,-8.390268334900398,-0.04033506941240137,0.0006217445952951305,-0.20620102208803795,-0.48381469284276196,0.31054117644914253,-11.442667692552764,0.02330497216486664,0.6068973275814539,-0.017070997495432366,11.653095611891684,-28.178583064390192,-8.528109823865975,0.03498404278022046,0.03498402242304874
0.024,0.03,0.9999789012041095,2.3538867615296946e-05,0.006495867801454585,-1.7147891482115417e-05,-3.39921173100129e-05,-3.39921173100129e-05,-0.022823041805000884,-0.39062751538296536,-0.16677107715524345,17.19409572032911,0.05330659854803164,0.5626367819288444,-0.06442753768326989,14.901221927204482,-22.130277093769802,-23.816075176399043,-0.04066937498652792,0.00028658602433151784,-0.19142574996454417,-0.16722390093122197,-0.1675710722595006,7.3877116556386415,0.05248455973371867,0.5626380165150251,-0.06508826930816114,14.589793784426014,-22.129655533214386,-24.008635906364386,0.034805700445759556,0.03481378165402621
0.026000000000000002,0.0325,0.9999750823208545,7.65420368102261e-05,0.007058482119334012,-8.190780500399912e-05,-0.00016274720449147958,-0.00016274720449147958,-0.022823975213160982,-0.32593586645322936,-0.5464123217138184,16.44629666197587,0.08890498227807365,0.512845765157705,-0.11426836865427378,17.799191865021008,-24.8955083855697,-24.920415485501945,-0.040856892397470104,-0.0008112375847040519,-0.1781475322859231,-0.09382769303696033,-0.5488958881500743,6.63917579017477,0.08736760556051425,0.5128489090305494,-0.11543410585161876,17.44152291339779,-24.894553742237868,-25.172918271728808,0.03467080534503982,0.034689042242713006
0.028,0.034999999999999996,0.9999713043749452,0.000164779112578598,0.007571298376787965,-0.0001967623059475792,-0.00039106298117870536,-0.00039106298117870536,-0.02282490862132108,-0.25909489731542834,-1.9156911039987778,12.953535736401674,0.14981005975355954,0.45530080880251145,-0.1585356629770095,30.452538737742945,-28.77247817759676,-22.133647161367854,-0.04098415163680646,-0.004651056121513649,-0.1718569869458826,-0.06368010264814356,-1.9198969575374136,3.1453475894302336,0.14757261310673245,0.45529488796135603,-0.16063724908081758,30.1025037731091,-28.777010534596663,-22.601571614599415,0.03457739740960279,0.03460410993962817
0.03,0.0375,0.9999676740436046,0.0003135601262342635,0.008026553444855693,-0.00035635329083163005,-0.0007077411833584429,-0.0007077411833584429,-0.022825842029481173,-0.23108588252946566,-1.8556122360147556,12.43680026514355,0.20746491455787974,0.39268515872024523,-0.19918300058175575,28.827427402160097,-31.307825041133107,-20.323668802373128,-0.041049544331033486,-0.0083777244493013,-0.1666016009104775,-0.032747802065571395,-1.8633181348188261,2.6277518627982843,0.20452260853210144,0.3926642163358779,-0.20224368514482616,28.474997712684495,-31.315335812739068,-20.803218032004285,0.03451805678740046,0.03453413540549789
0.032,0.04,0.9999642679237984,0.0005196295722377183,0.008419176383400952,-0.0005570724864708489,-0.0011055124150597608,-0.0011055124150597608,-0.02282677543764127,-0.1263401815961776,-1.874054016871918,11.899267387382396,0.2620834522960981,0.3252695539452625,-0.23263866519700954,27.30926886910917,-33.707802387491355,-16.727832307626894,-0.04090560444540094,-0.012150528497345518,-0.16242615031476,0.07192353028309198,-1.886389788741549,2.087771439508545,0.2584943886010187,0.32522342644881885,-0.23668363100669298,26.985890034458627,-33.72039494352952,-17.219972930933412,0.03449060747368442,0.03447730427290605
0.034,0.0425,0.9999611496816294,0.0007799808188912634,0.008744364120680402,-0.0007917407665837684,-0.0015700199200642444,-0.0015700199200642444,-0.02282770884580137,0.006213048800409515,-1.076897533417081,13.495530025759692,0.2952469957524299,0.2562327018372541,-0.2596861369082856,16.58177172816591,-34.51842605400421,-13.52373585563804,-0.04042453069109823,-0.014346831702228346,-0.15506283686761937,0.24048603945833422,-1.0981431837224551,3.6816761593401104,0.2910696102494156,0.2561772766797246,-0.264413616510603,16.28761082419844,-34.523074884547114,-13.864992751955018,0.03449242032335961,0.034431458633937026
0.036000000000000004,0.045000000000000005,0.9999583634415519,0.0010731880892046186,0.00900050877930438,-0.0010537990001530679,-0.0020885317523296936,-0.0020885317523296936,-0.022828642253961466,0.14172891602734022,-1.1603296187690413,12.76083482475911,0.3277219347336371,0.1828874443473789,-0.28111728768848854,16.23746949060359,-36.6726287449376,-10.715575390101456,-0.039686636694106,-0.016723348724672623,-0.1491754348956968,0.3689074006153011,-1.1882508036225374,2.9437180732552584,0.32299752949281413,0.18281096160383595,-0.28658185829152805,15.963959621699274,-36.68315753794433,-11.084120890462511,0.03452431122882872,0.03441136157643986
0.038,0.047499999999999994,0.9999559598620578,0.0013985841222822653,0.009183298401192818,-0.0013376581322961428,-0.0026499614522841686,-0.0026499614522841686,-0.02282957566212156,0.24959896971576656,-1.2103919333243565,12.173246296768355,0.3590814446017056,0.10630591225294961,-0.29742186649444513,15.679754934034257,-38.29076604721465,-8.152289402978296,-0.038746953531752705,-0.019214148047717358,-0.1444690578681435,0.4698125592891314,-1.2453923753357126,2.353204662847469,0.35384544080095426,0.1061929351195477,-0.3036719645625731,15.423955654070065,-38.309013242144125,-8.545053135522535,0.034582580956754844,0.0344116644176851
