simulation_start_time_s,simulation_end_time_s,complete_interval_ms,budget_ms,overrun,mpc_policy_update_ms,mpc_assembly_ms,mpc_terms_ms,mpc_cost_ms,mpc_constraints_ms,mpc_solver_wall_ms,mpc_postprocess_ms,ddq_call_count,ddq_total_ms,ddq_max_ms,ddq_second_pass_count,ddq_rescue_count,cpp_executor_bridge_ms,other_right_arm_path_ms,ddq_call_1_ms,ddq_call_2_ms,ddq_call_3_ms
0.024,0.03,4.299390995583963,6.0,False,2.2337880000122823,1.1133869993500412,0.5174800025997683,0.49636999756330624,0.06202900112839416,0.44666499888990074,0.14050100435269997,2,1.572595996549353,0.8231309984694235,1,0,0.047091,0.44591599902232737,0.8231309984694235,0.7494649980799295,0.0
0.03,0.036,3.816140007984359,6.0,False,2.0674820043495856,1.0749439970823005,0.47761000314494595,0.5002129983040504,0.061623999499715865,0.3611089996411465,0.13706299796467647,2,1.2724840053124353,0.6558290042448789,0,0,0.039209,0.43696499832233787,0.6166550010675564,0.6558290042448789,0.0
0.036000000000000004,0.042,4.196830006549135,6.0,False,2.1146290018805303,1.1160710055264644,0.4850890036323108,0.531300000147894,0.06304600537987426,0.35501700040185824,0.13623399718198925,2,1.6044909934862517,0.8739759941818193,2,1,0.043037,0.4346730111823529,0.8739759941818193,0.7305149993044324,0.0
0.042,0.048,3.8296359925880097,6.0,False,2.05761099641677,1.0778380019473843,0.4770680025103502,0.5019609961891547,0.061257997003849596,0.34781399881467223,0.1392660051351413,2,1.3077730109216645,0.6555780055350624,2,0,0.041374,0.4228779852495752,0.6555780055350624,0.6521950053866021,0.0
0.048,0.054,3.6881389969494194,6.0,False,2.0279119999031536,1.0618630039971322,0.4761789969052188,0.4898799961665645,0.0587780014029704,0.34071099798893556,0.13210700126364827,2,1.2201390054542571,0.6342530032270588,2,0,0.034833,0.4052549915920086,0.5858860022271983,0.6342530032270588,0.0
0.054,0.06,3.793488009250723,6.0,False,2.0131599958403967,1.060530004906468,0.4615740035660565,0.5027699953643605,0.06074300472391769,0.33611900289542973,0.1328189973719418,2,1.3186159994802438,0.7172059995355085,2,0,0.034756999999999996,0.42695501393008234,0.6014099999447353,0.7172059995355085,0.0
0.06,0.066,3.788811001868453,6.0,False,2.0728320014313795,1.0618540036375634,0.4720599972642958,0.49256700003752485,0.06050299998605624,0.3526599975884892,0.1437009996152483,2,1.2517469949671067,0.666934996843338,1,0,0.038470000000000004,0.42576200546996673,0.666934996843338,0.5848119981237687,0.0
0.066,0.07200000000000001,3.6681669953395613,6.0,False,2.1084069958305918,1.0478559997864068,0.462666001112666,0.48981799773173407,0.05926499579800293,0.43363300210330635,0.13347299682209268,2,1.111363002564758,0.5597410054178908,0,0,0.034776,0.41362099694421145,0.5597410054178908,0.5516219971468672,0.0
0.07200000000000001,0.07800000000000001,3.588199004298076,6.0,False,2.001966000534594,1.0501049982849509,0.46198700147215277,0.49238099745707586,0.05962599971098825,0.3330550025566481,0.13164900155970827,2,1.1279669997747988,0.5821450031362474,0,0,0.036244,0.4220220039886832,0.5458219966385514,0.5821450031362474,0.0
0.078,0.084,3.8080939993960783,6.0,False,2.033204997132998,1.0795619964483194,0.4760160009027459,0.508469995111227,0.05879500531591475,0.32799699692986906,0.13420200411928818,2,1.3081010038149543,0.7686800017836504,1,1,0.037881000000000005,0.42890699844812596,0.5394210020313039,0.7686800017836504,0.0
