bin_id,phase_center,bin_count,acc_H_x,acc_H_y,acc_H_z,acc_H_std_x,acc_H_std_y,acc_H_std_z,omega_H_x,omega_H_y,omega_H_z,omega_H_std_x,omega_H_std_y,omega_H_std_z,alpha_H_x,alpha_H_y,alpha_H_z,orientation_quat_w,orientation_quat_x,orientation_quat_y,orientation_quat_z,orientation_R_00,orientation_R_01,orientation_R_02,orientation_R_10,orientation_R_11,orientation_R_12,orientation_R_20,orientation_R_21,orientation_R_22,orientation_dispersion_rad,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std
0,0.0,20,-0.3011558790950736,2.123858632613031,-2.465515999184124,0.0004666122999919759,0.00420634765741047,0.004386475247810272,-0.5430673028524184,0.02933694385706224,-0.004320594894312383,0.0021204075535653016,0.000350740643282432,0.0007494815639358702,-12.662680344130488,-0.8474454273342579,1.9635793721806079,0.9999098638978362,0.009105629376677967,0.009442980795576613,0.002860368360869507,0.9998052968130691,-0.005548252510158194,0.018936350192539492,0.005892189643500628,0.9998178116129894,-0.01815559645447648,-0.01883216837584008,0.01826363806847634,0.9996558352546979,0.0002749581839448848,0.047645520465020984,8.277449799257584e-05,0.036193858132293456,2.0562153374415145e-05
1,0.0025,20,-0.6021353987714367,1.6205236359144313,-1.3972021108282733,0.0049840653272693975,0.0027326039912789826,0.013510821550031783,-0.5517995739298047,0.02139748638388769,-0.010005372131776399,0.002228019728876118,0.00030954850087771846,0.0007014534725911799,-4.362981404614848,-3.911249410526737,-2.8423886187320084,0.9999140836699787,0.008561714460851588,0.009474747545867988,0.002958290529990712,0.9998029553521645,-0.0057538325628977245,0.01899852309828198,0.006078312895203229,0.999835891125262,-0.017065899627654854,-0.018897210943041896,0.01717801585141083,0.9996738524088659,0.0002054079605476687,0.046804884327246936,8.428446133249394e-05,0.036367370527573856,2.2007088499178215e-05
2,0.005,20,-0.654693279813132,2.285481798705408,-1.974257310539611,0.0037793524910500038,0.006503562022077819,0.014070059773512519,-0.5692215833916203,0.013551156931324752,-0.036326042714250814,0.002362695742711213,0.0003003445758251742,0.0008518580624426403,-8.711004730907787,-3.9231647262814713,-13.160335291237203,0.9999184818648558,0.008010121259700437,0.009497740349944146,0.002942874569553113,0.9998022648350259,-0.005733113240020074,0.019041077788033888,0.006037425447604884,0.9998543548933455,-0.015963035262017995,-0.018946786659417052,0.01607483789619427,0.9996912617712999,0.00020960483671837656,0.04588084080735034,8.588350834702976e-05,0.036577984432190194,2.3635658951487322e-05
3,0.0075,20,-0.6349344432594043,2.559870302183004,-2.417038303711385,0.0031853492087467556,0.00691373411066774,0.014219377196530679,-0.5929781149672979,0.00567578581422121,-0.06611551317236415,0.002509241410981188,0.0003151254944440886,0.0010263939145943827,-11.878265787838703,-3.9376855585517694,-14.89473522905667,0.9999228561557649,0.007441331538810541,0.009512744538905204,0.002901036636215222,0.9998021833555457,-0.005660050706277669,0.01906719652927712,0.005943200650109681,0.9998724211427297,-0.014826321330942178,-0.018980846227611866,0.01493670861261546,0.999708268552534,0.00021406294955735256,0.044898840842705526,8.755663330555139e-05,0.03682008210045577,2.54163183428128e-05
4,0.01,20,-0.611304339045337,2.632057884917795,-2.7567154694188893,0.002655490266347764,0.006467518778175303,0.014219347722233554,-0.6213646136386703,-0.0022711144211337007,-0.09112540837010066,0.0026619716494183363,0.0003490437639453495,0.0011830502673732513,-14.193249335686236,-3.973450117677455,-12.504947598868252,0.9999272277938971,0.006849044096925094,0.009519721362120348,0.00282924310688898,0.9998027405772594,-0.005527672450453776,0.01907681240359069,0.005788476416052185,0.999890171956801,-0.013643224141666363,-0.018999301960390676,0.013750958565839496,0.9997249310002919,0.00021880742359495122,0.04387911367704521,8.929677310889172e-05,0.03708907122071513,2.7323000646125374e-05
5,0.0125,20,-0.5823383227833046,2.6346697928248894,-3.0135168645487265,0.0023707154828142237,0.005575419819502528,0.014176541811208613,-0.6532594647116114,-0.010320654506374441,-0.10955308666092056,0.0028177505621512573,0.00039910848339364164,0.0013003022695205267,-15.947425536470556,-4.02477004262037,-9.21383914540996,0.9999315651179236,0.006228584256057393,0.009518653691284582,0.00273222453147952,0.99980386036203,-0.005345499630991008,0.01907004034808496,0.0055826505770725995,0.9999074793745496,-0.012404301809012683,-0.019001968785281813,0.012508330205500625,0.9997411999401412,0.00022386205431789897,0.0428376162062219,9.110110627217916e-05,0.03738105753298061,2.933316820169391e-05
6,0.015,20,-0.5268440287351639,2.637751911929078,-3.1984586613193864,0.0018930191631622124,0.00502959948228338,0.014062388369405607,-0.6878155354727709,-0.01848200793695977,-0.1229080058793682,0.0029748307915841905,0.00046259657408739396,0.0013959723569868475,-17.27803538057966,-4.0806767152926655,-6.6774596092238125,0.9999358115441402,0.005576381811598878,0.009509498165619265,0.0026165248118429013,0.9998054464850942,-0.005126656537094636,0.01904695701397274,0.005338770907527405,0.9999241155276005,-0.01110228406872518,-0.01898859404849131,0.011201811420319249,0.9997569468210588,0.0002292465509864516,0.04178681048331896,9.296926583778565e-05,0.03769265312788568,3.142687126170718e-05
7,0.0175,20,-0.5063957209479146,2.561292374233531,-3.3257308023847245,0.001217528888382059,0.004564366685154919,0.01394641431938603,-0.724186695623997,-0.026917918314855176,-0.12838745759706172,0.0031316562075695185,0.0005350161873296528,0.0014761748239856597,-18.185580075613153,-4.217955188947704,-2.7397258588467506,0.9999398996558282,0.004889728151525041,0.009492182985757904,0.0024871865755263507,0.9998074247302068,-0.004881245800784509,0.01900754833701993,0.005066902578244058,0.9999398089230854,-0.009731650894171223,-0.01895890167215414,0.00982608621454969,0.9997719780415382,0.00023497247746251084,0.04073622695658817,9.490273548752197e-05,0.03802087249614085,3.358617189964248e-05
8,0.02,20,-0.5810703805798134,2.1168208953471273,-2.7854743495762113,0.08237574835123851,0.38110720075122295,0.6105518195067251,-0.7590560676945894,-0.03426295670140553,-0.12715326088230955,0.00043588510614749477,0.0008587701440326025,0.0007168507449950294,-17.4346860352962,-3.672519193275176,0.617098357376087,0.9999437443378963,0.004166733830090216,0.009466482159508264,0.0023520638215689875,0.999809707022606,-0.004624974386390853,0.018951500080364905,0.004782751632254727,0.9999542122499369,-0.008288467315029774,-0.01891229838478145,0.008377530395849403,0.9997860480894258,0.00024104628502699723,0.03969290198477407,9.690387713407245e-05,0.03836310765512253,3.579443107793661e-05
9,0.0225,20,-0.5665675334577338,1.6213692534186415,-1.9432891022036753,0.0872757305771442,0.041173325101202536,0.16861593196617597,-0.7895466598340636,-0.04178953713237017,-0.12321302373056182,0.0014266047412010137,0.0009131592100465664,0.0019869306977176385,-15.245296069737126,-3.763290215482319,1.9701185758738533,0.9999472334991607,0.0034088409456533436,0.009433506968965152,0.002217874443877307,0.9998121799584354,-0.004371200179173376,0.018881139154056727,0.004499829478441035,0.9999669216727168,-0.006775477478044235,-0.0188508976291903,0.006859166814134661,0.9997987774993474,0.0002419300609651512,0.038706779847493974,5.429411068907352e-05,0.03871814946011638,3.9172083699285875e-05
