bin_id,phase_center,bin_count,acc_H_x,acc_H_y,acc_H_z,acc_H_std_x,acc_H_std_y,acc_H_std_z,omega_H_x,omega_H_y,omega_H_z,omega_H_std_x,omega_H_std_y,omega_H_std_z,alpha_H_x,alpha_H_y,alpha_H_z,orientation_quat_w,orientation_quat_x,orientation_quat_y,orientation_quat_z,orientation_R_00,orientation_R_01,orientation_R_02,orientation_R_10,orientation_R_11,orientation_R_12,orientation_R_20,orientation_R_21,orientation_R_22,orientation_dispersion_rad,left_foot_z_mean,left_foot_z_std,right_foot_z_mean,right_foot_z_std,acc_H_raw_x,acc_H_raw_y,acc_H_raw_z,omega_H_raw_x,omega_H_raw_y,omega_H_raw_z
0,0.0,20,-0.3011558790950736,2.123858632613031,-2.465515999184124,0.0004666122999919759,0.00420634765741047,0.004386475247810272,-0.5526610941788273,0.01612596285150162,-0.04148873771582798,0.0021204075535653016,0.000350740643282432,0.0007494815639358702,-10.77808792108698,-2.8192006607881943,-3.8750608168107252,0.9999146019286321,0.008708004818230603,0.009355453954016065,0.002726716579567626,0.999810080996018,-0.005290032770244515,0.01875679855480889,0.005615902122677741,0.9998334713375607,-0.017363503000015733,-0.01866182151035759,0.01746554168563892,0.9996732922667999,0.0002749581839448848,0.047645520465020984,8.277449799257584e-05,0.036193858132293456,2.0562153374415145e-05,-0.3011558790950736,2.123858632613031,-2.465515999184124,-0.5430673028524184,0.02933694385706224,-0.004320594894312383
1,0.0025,20,-0.6021353987714367,1.6205236359144313,-1.3972021108282733,0.0049840653272693975,0.0027326039912789826,0.013510821550031783,-0.5745040515867456,0.01031619559378173,-0.04950454580293084,0.002228019728876118,0.00030954850087771846,0.0007014534725911799,-10.921567173322657,-2.9005588789589116,-4.00801243377718,0.9999191975982834,0.008155876661027952,0.009372941185016017,0.002688479837646505,0.9998098400994097,-0.005223636099525193,0.01878822147763725,0.0055294143085494315,0.9998525075041054,-0.016260037366420548,-0.018700513837791227,0.016360833220001997,0.9996912592988647,0.0002054079605476687,0.046804884327246936,8.428446133249394e-05,0.036367370527573856,2.2007088499178215e-05,-0.6021353987714367,1.6205236359144313,-1.3972021108282733,-0.5517995739298047,0.02139748638388769,-0.010005372131776399
2,0.005,20,-0.654693279813132,2.285481798705408,-1.974257310539611,0.0037793524910500038,0.006503562022077819,0.014070059773512519,-0.5972149303026886,0.004814687155444386,-0.058105635773147084,0.002362695742711213,0.0003003445758251742,0.0008518580624426403,-11.355527827335042,-2.7464294692676368,-4.300653375333869,0.9999237282630127,0.007581964642547746,0.009384612619226981,0.002642066377472029,0.9998098970624881,-0.005141422122834394,0.01880785778475763,0.00542603732708634,0.9998710665948324,-0.015113183166935646,-0.018727729569328604,0.015212362244803082,0.9997088857162924,0.00020960483671837656,0.04588084080735034,8.588350834702976e-05,0.036577984432190194,2.3635658951487322e-05,-0.654693279813132,2.285481798705408,-1.974257310539611,-0.5692215833916203,0.013551156931324752,-0.036326042714250814
3,0.0075,20,-0.6349344432594043,2.559870302183004,-2.417038303711385,0.0031853492087467556,0.00691373411066774,0.014219377196530679,-0.620424622639134,-0.0005444938861157477,-0.06691188808087986,0.002509241410981188,0.0003151254944440886,0.0010263939145943827,-11.604934637586178,-2.6752657708790304,-4.403234544092139,0.9999281601250997,0.006985407039699154,0.009390779612212062,0.0025868775768419904,0.9998102426453546,-0.005042186635738156,0.01881635074523123,0.005304580307783794,0.9998890243057843,-0.013921224823446795,-0.018744069173886786,0.01401839601227838,0.9997260346935292,0.00021406294955735256,0.044898840842705526,8.755663330555139e-05,0.03682008210045577,2.54163183428128e-05,-0.6349344432594043,2.559870302183004,-2.417038303711385,-0.5929781149672979,0.00567578581422121,-0.06611551317236415
4,0.01,20,-0.611304339045337,2.632057884917795,-2.7567154694188893,0.002655490266347764,0.006467518778175303,0.014219347722233554,-0.6430485318616694,-0.005031431864788731,-0.07522877864196793,0.0026619716494183363,0.0003490437639453495,0.0011830502673732513,-11.312043080631225,-2.2391442394354555,-4.158553670769783,0.9999324535999324,0.006365707536132383,0.009391591655989158,0.002522699219218269,0.999810867989633,-0.004925489388373499,0.01881403210642613,0.005164625891496732,0.9999062275124275,-0.012683170789133308,-0.01874979704470144,0.012777939432884432,0.9997425515474632,0.00021880742359495122,0.04387911367704521,8.929677310889172e-05,0.03708907122071513,2.7323000646125374e-05,-0.611304339045337,2.632057884917795,-2.7567154694188893,-0.6213646136386703,-0.0022711144211337007,-0.09112540837010066
5,0.0125,20,-0.5823383227833046,2.6346697928248894,-3.0135168645487265,0.0023707154828142237,0.005575419819502528,0.014176541811208613,-0.6645617685426829,-0.008770619058541776,-0.08218344937252556,0.0028177505621512573,0.00039910848339364164,0.0013003022695205267,-10.756706809870286,-1.8652688469754852,-3.477443755504569,0.9999365511896766,0.005723449170541866,0.009387923740105993,0.0024500229259078743,0.999811728551025,-0.0047922723410490815,0.018802701338392746,0.005007197558422761,0.9999224790345095,-0.011400170792222228,-0.01874661101166036,0.011492173305781965,0.9997582180348844,0.00022386205431789897,0.0428376162062219,9.110110627217916e-05,0.03738105753298061,2.933316820169391e-05,-0.5823383227833046,2.6346697928248894,-3.0135168645487265,-0.6532594647116114,-0.010320654506374441,-0.10955308666092056
6,0.015,20,-0.5268440287351639,2.637751911929078,-3.1984586613193864,0.0018930191631622124,0.00502959948228338,0.014062388369405607,-0.6845760145399206,-0.011900858675092265,-0.0875380858507409,0.0029748307915841905,0.00046259657408739396,0.0013959723569868475,-10.00721146798229,-1.5607950583742085,-2.677426629333414,0.9999403916977565,0.005059731364982733,0.009380524014810933,0.0023702192006515668,0.9998127756602968,-0.004645229968662717,0.01878391506026335,0.004835081694973568,0.9999375623589102,-0.01007439172970836,-0.01873594437053767,0.010163327322236673,0.9997728097754436,0.0002292465509864516,0.04178681048331896,9.296926583778565e-05,0.03769265312788568,3.142687126170718e-05,-0.5268440287351639,2.637751911929078,-3.1984586613193864,-0.6878155354727709,-0.01848200793695977,-0.1229080058793682
7,0.0175,20,-0.5063957209479146,2.561292374233531,-3.3257308023847245,0.001217528888382059,0.004564366685154919,0.01394641431938603,-0.7023398842941423,-0.01415171319748259,-0.09116574182178784,0.0031316562075695185,0.0005350161873296528,0.0014761748239856597,-8.882023346474403,-1.1211025112941264,-1.813936375749226,0.9999439147475021,0.0043760393720879654,0.009369998258317669,0.0022849007622462738,0.9998139647222917,-0.004487538263430593,0.0187589431105927,0.004651552188609769,0.9999512590158413,-0.00870876884930433,-0.018718947847805086,0.008794406913955034,0.9997861068241061,0.00023497247746251084,0.04073622695658817,9.490273548752197e-05,0.03802087249614085,3.358617189964248e-05,-0.5063957209479146,2.561292374233531,-3.3257308023847245,-0.724186695623997,-0.026917918314855176,-0.12838745759706172
8,0.02,20,-0.5810703805798134,2.1168208953471273,-2.7854743495762113,0.08237574835123851,0.38110720075122295,0.6105518195067251,-0.7174855730864537,-0.01566528031297574,-0.09279615830216027,0.00043588510614749477,0.0008587701440326025,0.0007168507449950294,-7.572932865519157,-0.7524588078455376,-0.8153166304119652,0.9999470576734436,0.003674608857656935,0.00935721605611026,0.0021958159407121035,0.9998152418000675,-0.00432263116020944,0.018729578856055366,0.00446016759622061,0.9999633512841954,-0.007307735182276264,-0.018697303797233267,0.00738992207898304,0.999797879514845,0.00024104628502699723,0.03969290198477407,9.690387713407245e-05,0.03836310765512253,3.579443107793661e-05,-0.5810703805798134,2.1168208953471273,-2.7854743495762113,-0.7590560676945894,-0.03426295670140553,-0.12715326088230955
9,0.0225,20,-0.5665675334577338,1.6213692534186415,-1.9432891022036753,0.0872757305771442,0.041173325101202536,0.16861593196617597,-0.7298161245818643,-0.016664161307869987,-0.09239779300139479,0.0014266047412010137,0.0009131592100465664,0.0019869306977176385,-6.165364217068791,-0.4951157475460864,0.1990742601569926,0.9999497633513899,0.002958040669154078,0.009342900937129937,0.002104987168184672,0.9998165584622015,-0.004154489479488134,0.018697316437500194,0.004265036203247766,0.9999736380488429,-0.005876450761036257,-0.018672409886894045,0.005955117507381372,0.9998079203949573,0.0002419300609651512,0.038706779847493974,5.429411068907352e-05,0.03871814946011638,3.9172083699285875e-05,-0.5665675334577338,1.6213692534186415,-1.9432891022036753,-0.7895466598340636,-0.04178953713237017,-0.12321302373056182
